U,I
1430,4.2
1611,11.9
1692,12.2
1753,16.6
1834,22.8
1946,27
2194,150
2078,101
1988,59.5
1950,45
1765,23
1827,25.9
1951,34.7
1950,35.8
1991,35
2022,50
2070,46
2126,55
2186,60
2330,144
2186,70
