V,deltaNu
-14.96,2681
-12.30,2176
-10.21,1768
-8.64,1454
-6.46,993
-5.22,679
-4.28,422
-3.20,1521
-2.61,1037
-1.54,73
-0.55,-702
14.31,-2480
12.38,-2125
10.30,-1726
8.21,-1292
6.43,-889
5.38,-633
4.32,-285
3.41,901
2.44,-3791
1.60,-2217
0.79,-1437
