V,deltaNu
-14.95,-2414
-12.64,-2033
-10.53,-1628
-8.63,-1307
-6.90,-990
-4.82,-538
-3.64,-235
-2.48,-821
-1.54,-601
-0.63,-32
0.35,940
1.43,2289
2.55,1640
3.63,1767
4.78,470
6.25,839
8.24,1223
10.68,1658
12.66,2022
14.32,2307
