V,deltaNu
-14.95,2465
-12.46,2021
-10.20,-1611
-8.40,-1278
-6.73,-981
-4.65,-527
-3.54,-189
-2.64,-115
-1.26,-3084
-0.36,-2515
14.36,2330
12.81,2063
10.63,1695
8.22,1248
6.63,930
4.52,422
3.52,714
2.39,222
1.60,-380
0.57,-819
