Z[cm],U_max[mV],U_disp[mV],x_left[mm/100],x_right[mm/100]
4,9,1.2,51,-67
14,8.6,1.16,60,-55
26,11.9,1.6,57,-59
50,13.7,1.9,43,-49
55,10.2,1.4,38,-34
60,4.1,0.5,25,-10
70,17.1,2.3,28,-24
80,20,2.7,28,-26
