            Время    Канал: 0    Канал: 1 
               21     -1.1841      1.5137 
               21     -1.0938      1.5820 
               21     -1.0156      1.6528 
               21     -0.9448      1.6919 
               21     -0.9058      1.7529 
               21     -0.8154      1.8018 
               22     -0.7764      1.8311 
               22     -0.7251      1.8921 
               22     -0.6958      1.9409 
               22     -0.6567      1.9922 
               22     -0.5859      2.0508 
               22     -0.5859      2.1021 
               22     -0.5469      2.1606 
               22     -0.4761      2.2095 
               22     -0.4663      2.2803 
               22     -0.4663      2.3608 
               23     -0.4272      2.4292 
               23     -0.4077      2.5000 
               23     -0.3784      2.5977 
               23     -0.3271      2.6782 
               23     -0.2783      2.7368 
               23     -0.2783      2.7979 
               23     -0.2490      2.8467 
               23     -0.1978      2.9077 
               23     -0.1978      2.9565 
               23     -0.1489      3.0078 
               24     -0.1392      3.0664 
               24     -0.0781      3.1250 
               24     -0.0586      3.1665 
               24     -0.0391      3.2251 
               24      0.0000      3.2764 
               24      0.0513      3.3252 
               24      0.0513      3.3643 
               24      0.0708      3.4058 
               24      0.0708      3.4448 
               24      0.1196      3.4644 
               25      0.1587      3.5034 
               25      0.1807      3.5254 
               25      0.2002      3.5547 
               25      0.2197      3.5742 
               25      0.2588      3.6133 
               25      0.2490      3.6328 
               25      0.2686      3.6426 
               25      0.2588      3.6548 
               25      0.2686      3.6548 
               25      0.3003      3.6646 
               26      0.3394      3.6646 
               26      0.3003      3.6230 
               26      0.3101      3.5840 
               26      0.2783      3.4937 
               26      0.2881      3.3838 
               26      0.2783      3.2861 
               26      0.3003      3.1860 
               26      0.3296      3.0957 
               26      0.3003      3.0176 
               26      0.3101      2.9175 
               27      0.3003      2.8467 
               27      0.3101      2.7490 
               27      0.3003      2.6685 
               27      0.2881      2.5879 
               27      0.3003      2.4902 
               27      0.3101      2.4097 
               27      0.2881      2.3193 
               27      0.2686      2.2095 
               27      0.2881      2.1118 
               27      0.2783      2.0313 
               28      0.2881      1.9409 
               28      0.2783      1.8115 
               28      0.2783      1.7334 
               28      0.2881      1.5942 
               28      0.2588      1.4941 
               28      0.2588      1.3647 
               28      0.3003      1.2451 
               28      0.2783      1.1157 
               28      0.2686      0.9863 
               28      0.2588      0.8569 
               29      0.2490      0.7373 
               29      0.2588      0.6177 
               29      0.2393      0.5176 
               29      0.2588      0.4297 
               29      0.2490      0.3101 
               29      0.2295      0.2002 
               29      0.2295      0.0903 
               29      0.2100      0.0000 
               29      0.2002     -0.1196 
               29      0.2588     -0.1880 
               30      0.2100     -0.3076 
               30      0.1807     -0.4077 
               30      0.2295     -0.5078 
               30      0.1709     -0.6055 
               30      0.1904     -0.7251 
               30      0.1587     -0.8154 
               30      0.1807     -0.9155 
               30      0.1587     -1.0059 
               30      0.1001     -1.0938 
               30      0.0293     -1.1841 
               31     -0.1099     -1.2646 
               31     -0.2075     -1.3428 
               31     -0.2881     -1.4233 
               31     -0.4468     -1.5112 
               31     -0.5371     -1.5527 
               31     -0.6763     -1.6211 
               31     -0.7251     -1.6528 
               31     -0.8350     -1.7017 
               31     -0.8960     -1.7700 
               31     -0.9351     -1.8018 
               32     -0.9937     -1.8506 
               32     -1.0645     -1.9116 
               32     -1.0938     -1.9702 
               32     -1.1548     -1.9995 
               32     -1.1938     -2.0703 
               32     -1.2231     -2.1191 
               32     -1.2134     -2.1704 
               32     -1.2842     -2.2485 
               32     -1.2842     -2.2998 
               32     -1.3135     -2.3779 
               33     -1.3623     -2.4194 
               33     -1.3818     -2.5269 
               33     -1.4331     -2.5781 
               33     -1.4233     -2.6782 
               33     -1.4624     -2.7368 
               33     -1.5234     -2.7856 
               33     -1.5430     -2.8369 
               33     -1.5723     -2.8955 
               33     -1.5918     -2.9370 
               33     -1.5918     -2.9858 
               34     -1.6724     -3.0542 
               34     -1.6528     -3.1055 
               34     -1.6919     -3.1641 
               34     -1.6919     -3.1958 
               34     -1.7310     -3.2544 
               34     -1.7822     -3.3130 
               34     -1.7822     -3.3545 
               34     -1.8115     -3.4033 
               34     -1.8506     -3.4229 
               34     -1.8408     -3.4644 
               35     -1.8896     -3.5034 
               35     -1.9312     -3.5327 
               35     -1.9312     -3.5522 
               35     -1.9409     -3.5718 
               35     -1.9604     -3.6035 
               35     -1.9897     -3.6133 
               35     -2.0093     -3.6328 
               35     -1.9897     -3.6523 
               35     -2.0093     -3.6719 
               35     -2.0288     -3.6719 
               36     -2.0288     -3.6523 
               36     -2.0508     -3.6523 
               36     -2.0508     -3.6133 
               36     -2.0093     -3.5327 
               36     -2.0288     -3.4033 
               36     -2.0410     -3.3130 
               36     -2.0288     -3.2153 
               36     -1.9897     -3.1152 
               36     -2.0288     -3.0249 
               36     -2.0093     -2.9248 
               37     -2.0410     -2.8564 
               37     -2.0190     -2.7661 
               37     -1.9995     -2.6782 
               37     -2.0410     -2.5781 
               37     -1.9995     -2.4976 
               37     -2.0093     -2.4194 
               37     -1.9995     -2.3193 
               37     -2.0093     -2.2485 
               37     -1.9897     -2.1387 
               37     -1.9702     -2.0410 
               38     -1.9995     -1.9409 
               38     -1.9702     -1.8408 
               38     -1.9897     -1.7407 
               38     -1.9702     -1.6309 
               38     -2.0093     -1.5112 
               38     -1.9702     -1.3940 
               38     -1.9604     -1.2646 
               38     -2.0093     -1.1353 
               38     -1.9604     -1.0059 
               38     -1.9897     -0.8765 
               39     -1.9800     -0.7568 
               39     -1.9604     -0.6372 
               39     -1.9409     -0.5176 
               39     -1.9995     -0.4175 
               39     -1.9312     -0.3174 
               39     -1.9116     -0.2173 
               39     -1.9507     -0.1099 
               39     -1.9312      0.0000 
               39     -1.9312      0.1001 
               39     -1.9507      0.2100 
               40     -1.9409      0.3003 
               40     -1.9214      0.3979 
               40     -1.9312      0.5078 
               40     -1.9312      0.6177 
               40     -1.8896      0.7178 
               40     -1.8896      0.8179 
               40     -1.9116      0.8960 
               40     -1.8506      0.9961 
               40     -1.8604      1.0962 
               40     -1.7603      1.1548 
               41     -1.6821      1.2549 
               41     -1.5820      1.2939 
               41     -1.4331      1.3745 
               41     -1.3330      1.4429 
               41     -1.1938      1.5234 
               41     -1.1035      1.5625 
               41     -1.0352      1.6333 
               41     -0.9546      1.6724 
               41     -0.8862      1.7334 
               41     -0.8545      1.7920 
               42     -0.7666      1.8530 
               42     -0.7251      1.8921 
               42     -0.7056      1.9409 
               42     -0.6372      1.9922 
               42     -0.6055      2.0313 
               42     -0.5664      2.1118 
               42     -0.5566      2.1704 
               42     -0.4980      2.2192 
               42     -0.4761      2.2900 
               42     -0.4370      2.3486 
               43     -0.4077      2.4292 
               43     -0.3687      2.5098 
               43     -0.3589      2.5977 
               43     -0.3271      2.6782 
               43     -0.2979      2.7368 
               43     -0.2783      2.7881 
               43     -0.2490      2.8564 
               43     -0.2075      2.8979 
               43     -0.1489      2.9565 
               43     -0.1294      3.0273 
               44     -0.1099      3.0664 
               44     -0.0879      3.1152 
               44     -0.0586      3.1763 
               44     -0.0293      3.2251 
               44      0.0098      3.2666 
               44      0.0415      3.3057 
               44      0.0806      3.3643 
               44      0.0806      3.4058 
               44      0.1294      3.4448 
               44      0.1392      3.4839 
               45      0.1709      3.4937 
               45      0.2002      3.5352 
               45      0.2393      3.5645 
               45      0.2393      3.5938 
               45      0.2490      3.6035 
               45      0.2783      3.6328 
               45      0.2881      3.6230 
               45      0.2881      3.6426 
               45      0.3003      3.6646 
               45      0.3101      3.6548 
               46      0.3101      3.6548 
               46      0.3101      3.6328 
               46      0.3198      3.6035 
               46      0.3101      3.5132 
               46      0.3296      3.3838 
               46      0.3198      3.2959 
               46      0.3394      3.2056 
               46      0.3198      3.1055 
               46      0.3101      3.0078 
               46      0.3296      2.9272 
               47      0.3003      2.8271 
               47      0.3003      2.7490 
               47      0.3101      2.6587 
               47      0.2783      2.5586 
               47      0.2783      2.4902 
               47      0.2881      2.3999 
               47      0.3003      2.3096 
               47      0.3101      2.2314 
               47      0.3003      2.1411 
               47      0.2881      2.0410 
               48      0.3101      1.9312 
               48      0.2686      1.8311 
               48      0.2783      1.7334 
               48      0.2783      1.6138 
               48      0.2783      1.4941 
               48      0.2490      1.3647 
               48      0.2588      1.2354 
               48      0.2588      1.1157 
               48      0.2783      1.0059 
               48      0.2588      0.8569 
               49      0.2490      0.7471 
               49      0.2490      0.6372 
               49      0.2295      0.5273 
               49      0.2393      0.4175 
               49      0.2490      0.3198 
               49      0.2393      0.2100 
               49      0.2588      0.1099 
               49      0.2393      0.0195 
               49      0.2393     -0.0879 
               49      0.2393     -0.1880 
               50      0.2393     -0.2881 
               50      0.2197     -0.3882 
               50      0.2197     -0.4883 
               50      0.2490     -0.5957 
               50      0.2100     -0.7056 
               50      0.2002     -0.7959 
               50      0.1489     -0.8960 
               50      0.1489     -1.0156 
               50      0.0903     -1.0742 
               50      0.0195     -1.1743 
               51     -0.0586     -1.2646 
               51     -0.1685     -1.3330 
               51     -0.2686     -1.4233 
               51     -0.4077     -1.5015 
               51     -0.5371     -1.5527 
               51     -0.6567     -1.5918 
               51     -0.7568     -1.6406 
               51     -0.8350     -1.7017 
               51     -0.8862     -1.7700 
               51     -0.9546     -1.7920 
               52     -0.9839     -1.8408 
               52     -1.0742     -1.9116 
               52     -1.1035     -1.9409 
               52     -1.1230     -2.0093 
               52     -1.1743     -2.0703 
               52     -1.2036     -2.1094 
               52     -1.2329     -2.1802 
               52     -1.2524     -2.2388 
               52     -1.2939     -2.2900 
               52     -1.3428     -2.3486 
               53     -1.3232     -2.4292 
               53     -1.3818     -2.5073 
               53     -1.4233     -2.5879 
               53     -1.4331     -2.6563 
               53     -1.4526     -2.7271 
               53     -1.4917     -2.7954 
               53     -1.4917     -2.8174 
               53     -1.5430     -2.8760 
               53     -1.5820     -2.9468 
               53     -1.6016     -2.9956 
               54     -1.6406     -3.0444 
               54     -1.6821     -3.1055 
               54     -1.6724     -3.1445 
               54     -1.6919     -3.2056 
               54     -1.7212     -3.2446 
               54     -1.7603     -3.2935 
               54     -1.7603     -3.3447 
               54     -1.7920     -3.3936 
               54     -1.8311     -3.4326 
               54     -1.8506     -3.4644 
               55     -1.8799     -3.4937 
               55     -1.8896     -3.5522 
               55     -1.9312     -3.5522 
               55     -1.9312     -3.5938 
               55     -1.9507     -3.6230 
               55     -1.9800     -3.6230 
               55     -1.9995     -3.6523 
               55     -1.9800     -3.6523 
               55     -2.0190     -3.6719 
               55     -1.9995     -3.6621 
               56     -1.9995     -3.6523 
               56     -2.0093     -3.6426 
               56     -2.0190     -3.6035 
               56     -2.0288     -3.5132 
               56     -2.0410     -3.4131 
               56     -2.0190     -3.3130 
               56     -2.0508     -3.2251 
               56     -2.0288     -3.1152 
               56     -1.9995     -3.0249 
               56     -2.0093     -2.9468 
               57     -2.0093     -2.8467 
               57     -2.0190     -2.7661 
               57     -2.0093     -2.6782 
               57     -2.0093     -2.6074 
               57     -1.9995     -2.5073 
               57     -1.9995     -2.4292 
               57     -2.0190     -2.3193 
               57     -1.9995     -2.2388 
               57     -2.0093     -2.1484 
               57     -2.0093     -2.0508 
               58     -1.9604     -1.9604 
               58     -1.9800     -1.8506 
               58     -1.9800     -1.7310 
               58     -1.9897     -1.6211 
               58     -1.9800     -1.5234 
               58     -1.9897     -1.4038 
               58     -1.9604     -1.2744 
               58     -1.9800     -1.1548 
               58     -1.9800     -1.0254 
               58     -1.9800     -0.8960 
               59     -1.9604     -0.7764 
               59     -1.9604     -0.6567 
               59     -1.9507     -0.5469 
               59     -1.9507     -0.4272 
               59     -1.9702     -0.3271 
               59     -1.9312     -0.2295 
               59     -1.9312     -0.1294 
               59     -1.9409     -0.0293 
               59     -1.9507      0.0708 
               59     -1.9312      0.1807 
               60     -1.9312      0.2881 
               60     -1.9409      0.3784 
               60     -1.9409      0.4883 
               60     -1.9116      0.5981 
               60     -1.9214      0.6885 
               60     -1.8896      0.7959 
               60     -1.8799      0.8960 
               60     -1.8506      0.9766 
               60     -1.8213      1.0645 
               60     -1.7603      1.1548 
               61     -1.6626      1.2354 
               61     -1.5625      1.3037 
               61     -1.4526      1.3745 
               61     -1.3330      1.4429 
               61     -1.1938      1.5039 
               61     -1.1230      1.5820 
               61     -1.0352      1.6138 
               61     -0.9448      1.6724 
               61     -0.8862      1.7334 
               61     -0.8057      1.7920 
               62     -0.7764      1.8213 
               62     -0.7153      1.8726 
               62     -0.6958      1.9312 
               62     -0.6372      1.9824 
               62     -0.5957      2.0410 
               62     -0.5566      2.0898 
               62     -0.5273      2.1606 
               62     -0.4883      2.2192 
               62     -0.4761      2.2705 
               62     -0.4175      2.3389 
               63     -0.4565      2.4292 
               63     -0.3882      2.5195 
               63     -0.3687      2.5879 
               63     -0.3076      2.6587 
               63     -0.2881      2.7173 
               63     -0.2686      2.7979 
               63     -0.2075      2.8467 
               63     -0.1978      2.9077 
               63     -0.1782      2.9663 
               63     -0.1294      3.0078 
               64     -0.1001      3.0664 
               64     -0.0879      3.1250 
               64     -0.0391      3.1763 
               64     -0.0293      3.2153 
               64      0.0195      3.2544 
               64      0.0415      3.3057 
               64      0.0513      3.3447 
               64      0.0903      3.4155 
               64      0.1099      3.4448 
               64      0.1709      3.4741 
               65      0.1587      3.5034 
               65      0.1807      3.5352 
               65      0.2100      3.5547 
               65      0.2588      3.5840 
               65      0.2588      3.6133 
               65      0.2881      3.6230 
               65      0.3101      3.6548 
               65      0.3101      3.6548 
               65      0.2881      3.6646 
               65      0.3491      3.6548 
               66      0.3198      3.6548 
               66      0.3101      3.6328 
               66      0.3296      3.5840 
               66      0.3198      3.5034 
               66      0.3296      3.3960 
               66      0.3296      3.2959 
               66      0.3296      3.1860 
               66      0.3101      3.1055 
               66      0.3101      3.0273 
               66      0.3198      2.9272 
               67      0.3003      2.8467 
               67      0.3003      2.7588 
               67      0.3101      2.6685 
               67      0.2881      2.5781 
               67      0.2881      2.5000 
               67      0.3198      2.3999 
               67      0.3296      2.3193 
               67      0.3003      2.2412 
               67      0.2783      2.1411 
               67      0.2783      2.0605 
               68      0.3101      1.9507 
               68      0.2881      1.8408 
               68      0.3101      1.7334 
               68      0.2881      1.6138 
               68      0.2783      1.5137 
               68      0.3101      1.3843 
               68      0.2881      1.2646 
               68      0.2393      1.1255 
               68      0.2588      1.0059 
               68      0.2588      0.8765 
               69      0.2783      0.7568 
               69      0.2783      0.6470 
               69      0.2393      0.5371 
               69      0.2783      0.4297 
               69      0.2490      0.3296 
               69      0.2295      0.2295 
               69      0.2393      0.1099 
               69      0.2100      0.0293 
               69      0.2588     -0.0684 
               69      0.2295     -0.1685 
               70      0.2490     -0.2783 
               70      0.2295     -0.3882 
               70      0.2197     -0.4761 
               70      0.2100     -0.5859 
               70      0.2197     -0.6763 
               70      0.2197     -0.8057 
               70      0.2100     -0.8862 
               70      0.1392     -0.9839 
               70      0.1196     -1.0742 
               70      0.0806     -1.1450 
               71     -0.0195     -1.2646 
               71     -0.1587     -1.3525 
               71     -0.2588     -1.4038 
               71     -0.3882     -1.4819 
               71     -0.5176     -1.5527 
               71     -0.6274     -1.6016 
               71     -0.7471     -1.6626 
               71     -0.8057     -1.7114 
               71     -0.8447     -1.7407 
               71     -0.9253     -1.7920 
               72     -0.9839     -1.8506 
               72     -1.0352     -1.8896 
               72     -1.0742     -1.9507 
               72     -1.1133     -2.0190 
               72     -1.1548     -2.0605 
               72     -1.2036     -2.1191 
               72     -1.2524     -2.1802 
               72     -1.2427     -2.2388 
               72     -1.2939     -2.2998 
               72     -1.3037     -2.3682 
               73     -1.3428     -2.4487 
               73     -1.3721     -2.5366 
               73     -1.3818     -2.5977 
               73     -1.4331     -2.6660 
               73     -1.4429     -2.7173 
               73     -1.4917     -2.7759 
               73     -1.5430     -2.8174 
               73     -1.5430     -2.8955 
               73     -1.5820     -2.9468 
               73     -1.5820     -3.0054 
               74     -1.6113     -3.0542 
               74     -1.6821     -3.1250 
               74     -1.6821     -3.1641 
               74     -1.6919     -3.2056 
               74     -1.7017     -3.2446 
               74     -1.7700     -3.3032 
               74     -1.7920     -3.3447 
               74     -1.8018     -3.4033 
               74     -1.8311     -3.4326 
               74     -1.8506     -3.4546 
               75     -1.8701     -3.5034 
               75     -1.8799     -3.5229 
               75     -1.9116     -3.5522 
               75     -1.9312     -3.5938 
               75     -1.9312     -3.6133 
               75     -1.9702     -3.6328 
               75     -1.9604     -3.6426 
               75     -1.9702     -3.6523 
               75     -2.0190     -3.6719 
               75     -1.9897     -3.6621 
               76     -1.9995     -3.6523 
               76     -2.0093     -3.6426 
               76     -1.9897     -3.6133 
               76     -1.9800     -3.5620 
               76     -2.0288     -3.4326 
               76     -2.0190     -3.3130 
               76     -2.0190     -3.2251 
               76     -2.0190     -3.1250 
               76     -2.0508     -3.0347 
               76     -2.0190     -2.9565 
               77     -2.0190     -2.8760 
               77     -2.0093     -2.7661 
               77     -2.0190     -2.6782 
               77     -1.9702     -2.5977 
               77     -1.9897     -2.4878 
               77     -2.0093     -2.3975 
               77     -1.9604     -2.3291 
               77     -1.9995     -2.2290 
               77     -1.9604     -2.1387 
               77     -1.9995     -2.0605 
               78     -1.9897     -1.9507 
               78     -1.9897     -1.8604 
               78     -1.9702     -1.7407 
               78     -1.9897     -1.6406 
               78     -1.9702     -1.5234 
               78     -1.9995     -1.4038 
               78     -1.9702     -1.2842 
               78     -1.9312     -1.1548 
               78     -1.9702     -1.0352 
               78     -1.9604     -0.9155 
               79     -1.9800     -0.7959 
               79     -1.9312     -0.6665 
               79     -1.9604     -0.5566 
               79     -1.9409     -0.4468 
               79     -1.9312     -0.3271 
               79     -1.9312     -0.2393 
               79     -1.9604     -0.1392 
               79     -1.9507     -0.0391 
               79     -1.9507      0.0708 
               79     -1.9507      0.1709 
               80     -1.9214      0.2783 
               80     -1.9116      0.3589 
               80     -1.9116      0.4883 
               80     -1.8896      0.5884 
               80     -1.8994      0.6763 
               80     -1.8799      0.7959 
               80     -1.8604      0.8765 
               80     -1.8506      0.9668 
               80     -1.7920      1.0645 
               80     -1.7700      1.1353 
               81     -1.6919      1.2256 
               81     -1.5918      1.3037 
               81     -1.4624      1.3745 
               81     -1.3232      1.4331 
               81     -1.1938      1.5039 
               81     -1.1035      1.5625 
               81     -1.0156      1.6333 
               81     -0.9546      1.6626 
               81     -0.8862      1.7334 
               81     -0.8154      1.7920 
               82     -0.7666      1.8408 
               82     -0.7471      1.8823 
               82     -0.7251      1.9214 
               82     -0.6372      1.9824 
               82     -0.5957      2.0410 
               82     -0.5664      2.0898 
               82     -0.5176      2.1509 
               82     -0.5078      2.2095 
               82     -0.4663      2.2705 
               82     -0.4175      2.3486 
               83     -0.4077      2.4390 
               83     -0.3589      2.5293 
               83     -0.3369      2.6074 
               83     -0.3174      2.6880 
               83     -0.2783      2.7368 
               83     -0.2588      2.7979 
               83     -0.2295      2.8662 
               83     -0.1880      2.9175 
               83     -0.1489      2.9663 
               83     -0.1196      3.0176 
               84     -0.0684      3.0859 
               84     -0.0488      3.1250 
               84     -0.0391      3.1860 
               84      0.0000      3.2349 
               84     -0.0195      3.2666 
               84      0.0610      3.3252 
               84      0.0415      3.3643 
               84      0.1001      3.4058 
               84      0.1196      3.4351 
               84      0.1489      3.4741 
               85      0.1587      3.5034 
               85      0.1807      3.5449 
               85      0.2295      3.5645 
               85      0.2490      3.5840 
               85      0.2686      3.6133 
               85      0.3003      3.6230 
               85      0.2881      3.6328 
               85      0.2783      3.6646 
               85      0.3296      3.6548 
               85      0.3198      3.6646 
               86      0.3003      3.6646 
               86      0.3589      3.6328 
               86      0.3589      3.6035 
               86      0.3003      3.5034 
               86      0.3296      3.4058 
               86      0.3687      3.2959 
               86      0.3198      3.2056 
               86      0.3296      3.1250 
               86      0.3101      3.0273 
               86      0.3198      2.9565 
               87      0.3296      2.8467 
               87      0.3101      2.7783 
               87      0.3198      2.6685 
               87      0.3003      2.5781 
               87      0.3198      2.5000 
               87      0.3198      2.4097 
               87      0.3101      2.3096 
               87      0.3101      2.2192 
               87      0.2881      2.1313 
               87      0.3101      2.0410 
               88      0.3198      1.9604 
               88      0.2881      1.8530 
               88      0.2783      1.7432 
               88      0.2686      1.6431 
               88      0.2881      1.5234 
               88      0.2881      1.4038 
               88      0.2783      1.2549 
               88      0.3101      1.1353 
               88      0.2783      1.0059 
               88      0.2881      0.8960 
               89      0.2490      0.7568 
               89      0.2783      0.6372 
               89      0.2588      0.5469 
               89      0.2881      0.4297 
               89      0.2393      0.3394 
               89      0.2490      0.2295 
               89      0.2393      0.1392 
               89      0.2490      0.0293 
               89      0.2393     -0.0488 
               89      0.2490     -0.1685 
               90      0.2393     -0.2783 
               90      0.2295     -0.3882 
               90      0.2588     -0.4980 
               90      0.2100     -0.5762 
               90      0.2197     -0.6665 
               90      0.2100     -0.7764 
               90      0.1904     -0.9155 
               90      0.1392     -0.9644 
               90      0.1196     -1.0742 
               90      0.0903     -1.1646 
               91     -0.0195     -1.2427 
               91     -0.1294     -1.3330 
               91     -0.2588     -1.4136 
               91     -0.3784     -1.4819 
               91     -0.5078     -1.5430 
               91     -0.6372     -1.6211 
               91     -0.7471     -1.6626 
               91     -0.7959     -1.7017 
               91     -0.8765     -1.7603 
