x,y
-4.717342342342344,2.0351344043473674
-4.54316816816817,1.7582417582417573
-4.401651651651654,1.527837132003798
-4.260135135135137,1.3053011803011803
-4.11861861861862,1.084978293311627
-3.9662162162162176,0.8530982905982896
-3.8029279279279296,0.616300366300365
-3.650525525525527,0.39794464794464623
-3.487237237237238,0.18008072174738743
-3.3130630630630646,-0.060251958689461205
-3.13888888888889,-0.2803596866096889
-2.95382882882883,-0.504985754985757
-2.746996996996998,-0.7479802604802632
-2.5292792792792804,-0.9976139601139629
-2.311561561561563,-1.2248219373219396
-2.0829579579579587,-1.451372701372705
-1.843468468468469,-1.6682530432530474
-1.6039789789789793,-1.8847578347578384
-1.3644894894894897,-2.0729085729085757
-1.125,-2.2541116291116303
-0.8768018018018022,-2.4207621082621102
-0.6460210210210207,-2.5611240611240635
-0.406531531531531,-2.6922850297850314
-0.16704204204204132,-2.813681688681692
0.07897897897897899,-2.929914529914532
0.31193693693693625,-3.013662263662267
0.5514264264264259,-3.094405594405597
0.7909159159159156,-3.161065786065789
1.0369369369369377,-3.211858974358977
1.269894894894895,-3.2502590002590033
1.5093843843843846,-3.2849974099974144
1.7488738738738743,-3.30189717689718
2.0004587921254586,-3.3014798987021248
2.2278528528528536,-3.3037749287749314
2.4673423423423433,-3.2774864024864065
2.706831831831833,-3.252136752136755
2.9644644644644664,-3.2022198480531845
3.2021396396396415,-3.15144230769231
3.4171358858858873,-3.0959312678062716
3.6430180180180187,-3.024928774928778
4.063938938938941,-2.8596866096866123
4.3440690690690715,-2.737820512820516
4.555255255255256,-2.5928893637227013
4.6880630630630655,-2.508547008547012
