t (s),V (mV)
333.998,10.2109
335,10.1957
335.998,10.1823
336.999,10.1687
337.998,10.1554
338.998,10.1417
339.998,10.1282
340.998,10.1148
341.999,10.101
342.999,10.0874
343.998,10.0749
344.998,10.0616
345.998,10.0479
346.998,10.0341
347.998,10.0209
348.998,10.008
349.999,9.9943
351,9.9804
352,9.9675
353,9.9547
353.999,9.9412
354.999,9.9276
356,9.914
356.999,9.9012
357.999,9.8876
359,9.8743
359.999,9.8615
360.999,9.8485
362,9.835
362.999,9.822
363.999,9.8093
365,9.7966
365.999,9.7819
366.999,9.7701
368,9.7584
369,9.7461
369.999,9.7328
370.999,9.7197
372,9.707
373,9.6958
373.999,9.6781
374.999,9.66
375.999,9.6496
376.999,9.64
377.999,9.6315
378.999,9.6183
379.999,9.6071
381,9.5956
381.999,9.5828
382.999,9.5699
383.999,9.5577
384.999,9.5451
386,9.5326
387,9.5195
388,9.5062
389,9.4915
389.999,9.4798
390.999,9.4657
392,9.4533
393,9.441
393.999,9.4301
394.999,9.4172
395.999,9.4027
397,9.3894
398,9.377
398.999,9.3653
399.999,9.3519
400.999,9.3417
401.999,9.3268
403,9.3164
403.999,9.3032
404.999,9.2892
405.999,9.2749
406.999,9.2644
407.999,9.2525
408.999,9.2398
410,9.2273
411,9.2168
412,9.2039
412.999,9.1946
413.999,9.1829
414.999,9.1712
415.999,9.1581
416.999,9.1478
417.999,9.135
418.999,9.1222
419.999,9.1111
421,9.0983
421.999,9.0878
422.999,9.0757
423.999,9.0624
424.999,9.0502
425.999,9.0397
426.999,9.0265
427.999,9.0137
428.999,8.9998
429.999,8.9913
430.999,8.9819
431.999,8.9706
433,8.9588
434,8.9469
435,8.9352
436,8.9238
436.999,8.9114
437.999,8.8996
438.999,8.8881
439.999,8.8765
440.999,8.8641
441.999,8.8531
442.999,8.8405
443.999,8.8296
444.999,8.8179
445.999,8.806
446.999,8.7949
448,8.7832
449,8.7717
450,8.7593
451,8.7489
452,8.7365
453,8.7251
454,8.7131
455,8.702
455.999,8.6902
457,8.6807
458,8.6695
459,8.6578
459.999,8.6458
460.999,8.6343
461.999,8.6235
462.999,8.6117
463.999,8.5993
465,8.5879
466,8.5766
466.999,8.5644
467.999,8.5531
468.999,8.5411
469.999,8.5298
470.999,8.5187
472,8.5079
472.999,8.4961
473.999,8.4856
475,8.4736
475.999,8.4628
476.999,8.4511
478,8.4406
479,8.4286
479.999,8.4178
480.999,8.4072
481.999,8.3961
482.999,8.3846
484,8.373
484.999,8.3622
486,8.351
487,8.3396
487.999,8.329
488.999,8.3181
490,8.3068
490.999,8.2963
491.999,8.2848
492.999,8.2735
494,8.263
494.999,8.2516
495.999,8.241
496.999,8.2303
498,8.2193
499,8.2085
499.999,8.1978
501,8.1868
501.999,8.1759
503,8.1652
504,8.1551
504.999,8.1439
505.999,8.1333
506.999,8.1223
507.999,8.1126
509,8.1012
509.999,8.0906
510.999,8.0802
