t (s),V (mV)
0,21.9254
0.974,21.9302
1.909,21.9172
2.85,21.9138
3.823,21.8801
4.823,21.8141
5.823,21.7307
6.822,21.6397
7.823,21.5447
8.823,21.4469
9.823,21.3475
10.823,21.248
11.822,21.1469
12.823,21.0468
13.823,20.9458
14.823,20.8454
15.822,20.7457
16.822,20.6453
17.822,20.5464
18.823,20.4472
19.822,20.3487
20.822,20.2502
21.822,20.1522
22.822,20.0556
23.822,19.958
24.823,19.8626
25.823,19.7668
26.823,19.6719
27.822,19.5771
28.822,19.4828
29.822,19.3893
30.823,19.2967
31.822,19.204
32.822,19.1115
33.823,19.0201
34.822,18.9291
35.822,18.8385
36.822,18.7475
37.822,18.6581
38.822,18.569
39.823,18.4803
40.822,18.3925
41.822,18.3045
42.823,18.2173
43.822,18.1302
44.822,18.044
45.822,17.9579
46.823,17.8725
47.822,17.7871
48.822,17.7026
49.822,17.6187
50.822,17.5349
51.822,17.4516
52.822,17.3688
53.822,17.2865
54.823,17.2047
55.822,17.1236
56.822,17.0417
57.822,16.9608
58.822,16.881
59.822,16.801
60.823,16.7217
61.823,16.6429
62.822,16.564
63.822,16.4872
64.822,16.4092
65.823,16.3314
66.822,16.2542
67.823,16.1782
68.822,16.102
69.823,16.0259
70.822,15.9508
71.822,15.8768
72.822,15.8022
73.823,15.7268
74.823,15.653
75.822,15.5803
76.823,15.5076
77.822,15.4355
78.822,15.3634
79.823,15.2916
80.822,15.2207
81.823,15.1492
82.822,15.0791
83.823,15.0081
84.822,14.9389
85.822,14.87
86.823,14.7997
87.822,14.7317
88.822,14.663
89.822,14.5952
90.822,14.5269
91.822,14.4598
92.822,14.3921
93.823,14.3254
94.823,14.2587
95.823,14.1926
96.822,14.1273
97.822,14.0624
98.822,13.9967
99.822,13.9324
100.822,13.867
101.823,13.8022
102.822,13.739
103.822,13.675
104.822,13.6126
105.822,13.5499
106.823,13.4865
107.822,13.4251
108.822,13.3632
109.823,13.3003
110.822,13.2398
111.822,13.1785
112.822,13.1179
113.822,13.0578
114.822,12.9979
115.822,12.9386
116.823,12.8792
117.822,12.8204
118.822,12.7615
119.823,12.7039
120.822,12.6466
121.822,12.5882
122.823,12.5308
123.822,12.4734
124.822,12.4168
125.823,12.3591
126.823,12.3031
127.822,12.2475
128.822,12.1912
129.822,12.1361
130.822,12.0799
131.823,12.0243
132.822,11.9703
133.822,11.916
134.823,11.8615
135.822,11.8075
136.822,11.7535
137.823,11.6997
138.822,11.6471
139.823,11.5943
140.822,11.5411
141.823,11.4886
142.822,11.4371
143.822,11.3841
144.822,11.3337
145.823,11.2817
146.822,11.2312
147.822,11.1802
148.823,11.1294
149.822,11.079
