t (s),V (mV)
0,17.315
0.999,17.3052
1.999,17.2909
2.999,17.2719
4,17.2523
5,17.2291
6,17.2055
6.999,17.1801
7.999,17.1548
8.999,17.1279
9.999,17.101
10.999,17.0745
12,17.0468
13,17.0189
14,16.9908
15,16.9625
16,16.9345
16.999,16.9053
17.999,16.8758
18.999,16.8475
19.999,16.8177
21,16.7881
21.999,16.7592
22.999,16.7292
24,16.6995
25,16.6701
26,16.6411
26.999,16.611
27.999,16.5817
28.999,16.552
29.999,16.5228
31,16.4931
32,16.4632
32.999,16.4344
34,16.4039
34.999,16.3751
35.999,16.3458
36.999,16.3161
37.999,16.2863
38.999,16.257
39.999,16.2267
41,16.1969
41.999,16.1686
42.999,16.1392
44,16.1096
44.999,16.0814
45.999,16.0526
47,16.0233
47.999,15.9948
49,15.9656
49.999,15.9364
51,15.9079
51.999,15.8812
52.999,15.8525
54,15.8243
54.999,15.7959
55.999,15.7685
56.999,15.7396
57.999,15.7114
58.999,15.6837
60,15.6548
60.999,15.6277
62,15.5995
62.999,15.5721
63.999,15.5439
64.999,15.5164
66,15.4882
66.999,15.4609
67.999,15.4334
69,15.4056
69.999,15.3782
71,15.3507
71.999,15.3235
72.999,15.2964
73.999,15.2693
74.999,15.2422
76,15.2154
76.999,15.1882
77.999,15.161
78.999,15.1338
80,15.1072
80.999,15.0806
81.999,15.0534
83,15.0272
83.999,15.0002
84.999,14.9736
85.999,14.9481
86.999,14.9206
87.999,14.8952
88.999,14.8684
89.999,14.8418
91,14.8156
91.999,14.7902
92.999,14.7636
94,14.7373
94.999,14.7115
95.999,14.6856
96.999,14.6595
97.999,14.6338
99,14.6081
99.999,14.5827
100.999,14.557
101.999,14.5319
102.999,14.5073
103.999,14.482
105,14.4565
105.999,14.4316
106.999,14.4064
108,14.3816
108.999,14.3565
109.999,14.3319
111,14.3064
111.999,14.2827
113,14.2568
114,14.232
114.999,14.207
115.999,14.1829
117,14.1579
117.999,14.1334
119,14.1086
119.999,14.0842
120.999,14.0595
122,14.0349
122.999,14.0095
124,13.9857
125,13.9612
125.999,13.9362
127,13.9122
127.999,13.8872
128.999,13.8621
129.999,13.8374
131,13.8132
131.999,13.7886
132.999,13.7638
133.999,13.7395
135,13.7153
135.999,13.6907
136.999,13.6667
137.999,13.6432
139,13.6197
139.999,13.5957
140.999,13.5716
141.999,13.5482
143,13.524
143.999,13.5015
145,13.4782
145.999,13.455
146.999,13.4309
147.999,13.4092
148.999,13.3851
150,13.3619
151,13.339
151.999,13.316
152.999,13.294
154,13.2712
154.999,13.2485
155.999,13.2258
156.999,13.2043
158,13.1804
159,13.1577
159.999,13.1351
160.999,13.1121
161.999,13.0897
162.999,13.0662
164,13.0445
164.999,13.0217
165.999,12.998
166.999,12.9756
167.999,12.9532
168.999,12.9301
170,12.9078
170.999,12.8846
171.999,12.8618
172.999,12.8389
174,12.8169
174.999,12.7934
175.999,12.7681
177,12.7449
177.999,12.7236
178.999,12.7014
179.999,12.6789
180.999,12.6529
181.999,12.6279
182.999,12.6062
184,12.5838
184.999,12.5636
186,12.5425
187,12.521
188,12.5005
188.999,12.4772
189.999,12.4558
190.999,12.4342
191.999,12.4145
193,12.393
193.999,12.3733
195,12.3525
195.999,12.3313
196.999,12.3099
198,12.2887
198.999,12.2683
200,12.2461
200.999,12.2276
201.999,12.2068
202.999,12.1868
203.999,12.1653
204.999,12.1441
205.999,12.1241
206.999,12.1031
207.999,12.0814
208.999,12.0618
209.999,12.041
211,12.02
211.999,11.9993
212.999,11.9768
214,11.9574
214.999,11.9362
216,11.9151
216.999,11.8942
217.999,11.8723
219,11.8522
219.999,11.8319
220.999,11.8115
222,11.7899
222.999,11.7708
223.999,11.7523
225,11.7313
225.999,11.7114
227,11.6905
228,11.6706
228.999,11.6518
230,11.6307
230.999,11.6098
231.999,11.5901
232.999,11.574
233.999,11.5575
235,11.538
235.999,11.519
236.999,11.4993
238,11.4792
239,11.4598
239.999,11.4407
240.999,11.4215
242,11.4022
242.999,11.3824
243.999,11.3628
244.999,11.3434
246,11.3237
246.999,11.3048
248,11.2858
248.999,11.2659
249.999,11.247
251,11.2277
251.999,11.2083
253,11.1891
254,11.1707
254.999,11.1518
255.999,11.1322
256.999,11.1132
257.999,11.0951
259,11.0765
260,11.058
260.999,11.0394
261.999,11.0201
263,11.0018
263.999,10.9827
265,10.9644
265.999,10.9452
267,10.9267
268,10.9082
269,10.8904
270,10.8718
271,10.8528
272,10.8349
273,10.8163
273.999,10.797
274.999,10.7796
275.999,10.761
276.999,10.7432
277.999,10.7252
279,10.7064
280,10.6884
281,10.67
282,10.6526
283,10.6343
283.999,10.6162
284.998,10.5982
285.998,10.5802
286.998,10.5627
287.998,10.5448
288.998,10.5268
289.998,10.5088
290.998,10.4906
291.998,10.4732
292.998,10.4556
293.998,10.437
294.998,10.4197
295.999,10.4026
296.998,10.3848
297.998,10.3673
298.998,10.3499
299.998,10.3324
300.999,10.3071
301.998,10.2916
302.998,10.2761
303.998,10.2588
304.998,10.2421
305.998,10.2246
306.998,10.2076
307.998,10.1906
308.998,10.1734
309.998,10.1569
310.998,10.1393
311.998,10.1223
312.998,10.1051
313.998,10.0882
314.998,10.0706
315.998,10.0545
316.998,10.037
317.998,10.0201
318.998,10.0034
319.999,9.9868
320.999,9.9701
321.999,9.9529
323,9.936
324,9.9201
324.999,9.9024
325.999,9.886
326.999,9.8702
327.999,9.8527
329,9.8368
329.999,9.8195
330.999,9.8035
331.999,9.7869
332.999,9.7699
333.999,9.7539
334.999,9.7372
335.999,9.7206
336.999,9.7047
337.999,9.6877
338.999,9.6719
340,9.6568
341,9.6402
342,9.6247
342.999,9.6085
343.999,9.5916
344.999,9.5758
345.999,9.5588
346.999,9.5436
348,9.5281
348.999,9.512
349.999,9.4962
350.999,9.4804
352,9.4648
353,9.4492
353.999,9.4339
354.999,9.419
356,9.4031
356.999,9.3875
358,9.3721
359,9.3562
360,9.3416
361,9.3257
362,9.3105
363,9.2955
364,9.2802
364.999,9.2646
366,9.2494
367,9.2348
368,9.2188
369,9.2038
370,9.1885
371,9.1733
372,9.1582
373,9.1429
373.999,9.1288
375,9.1134
375.999,9.0955
377,9.076
377.999,9.0599
378.999,9.0448
380,9.0322
380.999,9.0177
382,9.007
382.999,8.9928
384,8.9791
384.999,8.9644
386,8.9475
386.999,8.9336
388,8.9191
388.999,8.905
390,8.8896
390.999,8.8744
392,8.86
393,8.8448
393.999,8.8314
395,8.817
395.999,8.8014
397,8.7864
397.999,8.7735
398.999,8.7594
400,8.7444
401,8.7302
401.999,8.7165
402.999,8.7005
404,8.6858
404.999,8.6716
406,8.6566
406.999,8.6426
407.999,8.6277
408.999,8.613
409.999,8.5992
411,8.5857
