t (s),V (mV)
0,17.3878
0.998,17.3733
1.998,17.3443
2.999,17.3117
3.998,17.2777
4.998,17.2423
5.998,17.2057
6.998,17.168
7.999,17.1301
8.998,17.0911
9.999,17.053
10.998,17.0138
11.999,16.9741
12.999,16.9347
13.998,16.8948
14.998,16.8551
15.998,16.8155
16.998,16.7753
17.998,16.735
18.998,16.6948
19.998,16.6552
20.998,16.6148
21.998,16.5745
22.998,16.5353
23.999,16.4953
24.998,16.4545
25.998,16.4144
26.998,16.3747
27.998,16.3361
28.998,16.2967
29.999,16.2581
30.998,16.2176
31.998,16.1786
32.999,16.1393
33.998,16.0996
34.999,16.0605
35.998,16.0213
36.998,15.9826
37.999,15.943
38.998,15.9041
39.998,15.8652
40.998,15.8267
41.998,15.7879
42.998,15.7494
43.998,15.7109
44.999,15.673
45.998,15.635
46.998,15.5963
47.998,15.5584
48.999,15.5206
49.998,15.482
50.998,15.447
51.998,15.2806
52.998,15.2652
53.998,15.2326
54.999,15.1959
55.998,15.1595
56.998,15.1218
57.998,15.0858
58.998,15.0496
59.998,15.0122
60.998,14.9766
61.998,14.9402
62.999,14.9035
63.998,14.8679
64.999,14.832
65.998,14.7961
66.998,14.7608
67.998,14.725
68.998,14.6896
69.999,14.6537
70.998,14.619
71.998,14.5835
72.998,14.5483
73.998,14.5138
74.998,14.4791
75.998,14.4444
76.998,14.4086
77.998,14.3751
78.998,14.3408
79.998,14.3043
80.999,14.2703
81.999,14.2348
82.998,14.202
83.998,14.1687
84.998,14.1348
85.998,14.1015
86.998,14.0681
87.998,14.0343
88.999,14.0001
89.998,13.9672
90.998,13.9342
91.999,13.9008
92.998,13.8678
93.998,13.8344
94.998,13.8015
95.999,13.7683
96.998,13.7347
97.998,13.7017
98.999,13.669
99.998,13.6358
100.999,13.6041
101.998,13.5713
102.998,13.5389
103.999,13.5066
104.998,13.4743
105.999,13.4421
106.998,13.4098
107.999,13.3782
108.998,13.3461
109.998,13.3142
110.999,13.2816
111.998,13.2506
112.998,13.2186
113.998,13.1869
114.998,13.1557
115.998,13.1245
116.999,13.0931
117.998,13.0621
118.999,13.0313
119.998,13.0007
120.998,12.9693
121.998,12.9386
122.999,12.9075
123.998,12.8767
124.999,12.8469
125.998,12.8164
126.998,12.7863
127.999,12.7558
128.998,12.7254
129.999,12.6961
130.998,12.666
131.998,12.6363
132.999,12.6076
133.998,12.5774
134.999,12.548
135.998,12.5192
136.998,12.4895
137.999,12.4605
138.998,12.4316
139.998,12.4018
140.998,12.3735
141.998,12.345
142.998,12.3166
143.998,12.2878
144.999,12.2581
145.998,12.2228
146.998,12.1935
147.999,12.1628
148.998,12.1388
149.998,12.1123
150.999,12.0853
151.998,12.0537
152.998,12.0286
153.999,11.9997
154.998,11.9731
155.998,11.9447
156.999,11.9168
157.999,11.8893
158.998,11.8579
159.998,11.8277
160.998,11.8037
161.998,11.7738
162.998,11.747
163.998,11.721
164.998,11.6918
165.998,11.6632
166.999,11.6359
167.999,11.61
168.998,11.5812
169.998,11.5529
170.998,11.5268
171.998,11.501
172.998,11.4745
173.998,11.4459
174.999,11.4169
175.998,11.3923
176.998,11.3646
177.998,11.3384
178.998,11.3158
179.999,11.2869
180.998,11.2605
181.998,11.2345
182.998,11.2084
183.998,11.1839
184.998,11.1559
185.998,11.1317
186.998,11.1062
187.999,11.0781
188.998,11.0555
189.999,11.0292
190.998,11.0035
191.998,10.9839
192.998,10.9585
193.998,10.9338
194.999,10.909
195.998,10.8837
196.998,10.859
197.998,10.8342
198.998,10.8085
199.999,10.7839
200.998,10.759
201.998,10.7347
202.998,10.7097
203.999,10.685
204.998,10.661
205.998,10.6362
206.998,10.612
207.997,10.5872
208.998,10.5615
209.997,10.5374
210.997,10.5126
211.997,10.4882
212.998,10.4632
213.997,10.4392
214.998,10.4138
215.997,10.3895
216.998,10.3651
217.998,10.3408
218.997,10.3164
219.997,10.293
220.997,10.2695
221.998,10.2452
222.997,10.2214
223.997,10.1981
224.997,10.1739
225.997,10.1508
226.997,10.1275
227.997,10.1048
228.998,10.0807
229.997,10.058
230.997,10.0348
231.998,10.0124
232.998,9.9892
233.999,9.9384
234.998,9.9285
235.998,9.9152
236.998,9.9036
237.999,9.8786
238.998,9.8432
239.999,9.8402
240.998,9.8175
241.999,9.7972
242.998,9.7749
243.998,9.7527
244.998,9.7299
245.998,9.7082
246.998,9.6857
247.999,9.6638
248.998,9.6417
249.999,9.6191
250.998,9.5967
251.998,9.5743
252.998,9.5531
253.999,9.5321
254.998,9.5098
255.999,9.4877
256.998,9.4659
257.998,9.4445
258.998,9.4229
259.999,9.4017
260.998,9.3801
261.998,9.3588
262.998,9.3371
263.998,9.3161
264.999,9.2962
265.998,9.275
266.999,9.2543
267.998,9.2308
268.998,9.2118
269.999,9.1927
270.998,9.171
271.998,9.1516
272.998,9.1309
273.998,9.1107
274.999,9.0903
275.998,9.0701
276.998,9.051
277.998,9.0305
278.998,9.0098
279.999,8.9903
280.999,8.97
281.998,8.9497
282.998,8.9228
283.999,8.9071
284.998,8.888
285.998,8.8679
286.999,8.8494
287.998,8.8286
288.999,8.8077
289.998,8.7876
290.998,8.7677
291.999,8.7477
292.998,8.7283
293.998,8.7094
294.998,8.6897
295.998,8.6702
296.999,8.6508
297.998,8.631
298.998,8.6116
299.998,8.5924
300.998,8.5718
301.999,8.5513
302.998,8.5341
303.998,8.5133
304.999,8.4914
305.999,8.4734
