t (s),V (mV)
0,15.6927
0.974,15.6884
1.909,15.678
2.85,15.6692
3.822,15.6559
4.82,15.6457
5.819,15.6339
6.819,15.6215
7.819,15.6074
8.82,15.5934
9.82,15.5783
10.819,15.5638
11.82,15.5487
12.819,15.5329
13.819,15.5177
14.819,15.502
15.819,15.4861
16.819,15.4694
17.819,15.4533
18.819,15.4367
19.82,15.4205
20.819,15.4041
21.819,15.3874
22.819,15.3707
23.819,15.3544
24.82,15.3377
25.819,15.3209
26.82,15.3043
27.819,15.2881
28.82,15.2711
29.819,15.2539
30.82,15.2368
31.819,15.2276
32.819,15.213
33.82,15.1969
34.819,15.1803
35.819,15.1627
36.819,15.1462
37.82,15.1296
38.819,15.1115
39.819,15.0953
40.819,15.0781
41.82,15.0615
42.819,15.0452
43.819,15.0283
44.819,15.0119
45.819,14.9951
46.819,14.9782
47.82,14.9614
48.819,14.9456
49.819,14.9285
50.819,14.9124
51.819,14.8959
52.819,14.8793
53.819,14.8624
54.82,14.8453
55.819,14.8286
56.819,14.8129
57.82,14.7957
58.82,14.7793
59.819,14.7634
60.819,14.7463
61.819,14.7299
62.819,14.7138
63.82,14.6977
64.819,14.6813
65.82,14.6645
66.819,14.6483
67.819,14.6322
68.82,14.6157
69.819,14.5991
70.819,14.5834
71.82,14.5668
72.819,14.5509
73.819,14.5348
74.819,14.5196
75.82,14.5026
76.819,14.4878
77.819,14.4712
78.82,14.4548
79.819,14.4404
80.819,14.4241
81.819,14.4087
82.82,14.3923
83.819,14.3771
84.819,14.3613
85.819,14.3456
86.819,14.3297
87.819,14.3138
88.819,14.2989
89.819,14.2825
90.82,14.2667
91.819,14.251
92.82,14.2347
93.819,14.2188
94.819,14.2027
95.819,14.1874
96.819,14.1716
97.819,14.156
98.819,14.1406
99.819,14.1251
100.82,14.109
101.82,14.0937
102.819,14.0787
103.82,14.0628
104.82,14.0471
105.819,14.032
106.819,14.0172
107.819,14.0007
108.819,13.9856
109.819,13.9705
110.819,13.9559
111.82,13.9394
112.82,13.9247
113.819,13.9087
114.819,13.8939
115.82,13.8788
116.819,13.8645
117.819,13.8492
118.819,13.8338
119.819,13.8192
120.819,13.8039
121.82,13.7887
122.819,13.7738
123.819,13.759
124.82,13.744
125.819,13.7295
126.82,13.7139
127.819,13.6993
128.82,13.6836
129.819,13.6693
130.82,13.6539
131.819,13.6394
132.819,13.6242
133.819,13.6097
134.82,13.595
135.819,13.5797
136.82,13.565
137.819,13.5508
138.819,13.5357
139.819,13.521
140.82,13.506
141.819,13.4917
142.82,13.4771
143.819,13.4628
144.819,13.4482
145.819,13.4346
146.819,13.4186
147.819,13.4048
148.819,13.3902
149.819,13.3761
150.819,13.3611
151.82,13.3471
152.819,13.3332
153.819,13.3186
154.819,13.3045
155.82,13.2901
156.819,13.2764
157.819,13.2615
158.82,13.2489
159.819,13.2346
160.819,13.2201
161.819,13.2062
162.82,13.1922
163.819,13.1783
164.819,13.1632
165.82,13.1513
166.819,13.1359
167.819,13.1215
168.819,13.1078
169.82,13.0939
170.819,13.0803
171.819,13.0659
172.819,13.0516
173.819,13.0376
174.82,13.0248
175.819,13.0107
176.82,12.9974
177.819,12.9828
178.819,12.9689
179.819,12.9553
180.819,12.9415
181.819,12.9274
182.819,12.9142
183.819,12.9003
184.819,12.8868
185.819,12.8735
186.819,12.8604
187.819,12.8459
188.819,12.8328
189.819,12.82
190.82,12.8067
191.819,12.7932
192.82,12.78
193.819,12.7668
194.819,12.7528
195.819,12.7398
196.819,12.7267
197.819,12.7139
198.82,12.7005
199.819,12.6874
200.82,12.6745
201.82,12.6608
202.82,12.6476
203.819,12.6341
204.819,12.6216
205.82,12.6077
206.819,12.5938
207.819,12.5797
208.819,12.5663
209.82,12.5526
210.819,12.5395
211.819,12.5257
212.82,12.512
213.82,12.4988
214.82,12.4849
215.819,12.4713
216.819,12.4586
217.819,12.4459
218.819,12.4331
219.82,12.4192
220.82,12.4067
221.819,12.3937
222.819,12.3809
223.819,12.368
224.82,12.3546
225.819,12.3413
226.819,12.3292
227.819,12.3158
228.82,12.3024
229.82,12.2897
230.819,12.2774
231.819,12.264
232.819,12.2526
233.82,12.2392
234.82,12.2265
235.819,12.2137
236.819,12.2005
237.82,12.1877
238.82,12.1746
239.819,12.1605
240.822,12.1479
241.819,12.1354
242.819,12.1227
243.819,12.1096
244.819,12.0968
245.82,12.0845
246.819,12.0707
247.819,12.0577
248.819,12.0455
249.819,12.0327
250.819,12.0208
251.819,12.0083
252.82,11.9964
253.819,11.983
254.819,11.9707
255.819,11.9583
256.819,11.9457
257.819,11.9331
258.819,11.9207
259.82,11.9088
260.819,11.8953
261.819,11.8763
262.819,11.8678
263.82,11.8573
264.819,11.8445
265.819,11.8324
266.82,11.8201
267.819,11.8078
268.819,11.7953
269.82,11.7837
270.819,11.7708
271.819,11.759
272.819,11.7467
273.82,11.7347
274.819,11.7219
275.819,11.71
276.82,11.6984
277.819,11.6858
278.82,11.6739
279.82,11.6617
280.819,11.6494
281.819,11.6379
282.82,11.6253
283.819,11.6133
284.819,11.6009
285.82,11.5899
286.819,11.5776
287.819,11.5662
288.819,11.5542
289.819,11.5421
290.819,11.5306
291.82,11.5179
292.819,11.5067
293.819,11.4954
294.819,11.4836
295.82,11.472
296.819,11.4601
297.819,11.4477
298.819,11.4362
299.82,11.4245
300.82,11.4127
301.82,11.4016
302.82,11.3898
303.82,11.3777
304.819,11.3655
305.819,11.3544
306.819,11.3428
307.819,11.3306
308.819,11.3188
309.82,11.307
310.819,11.2963
311.82,11.2841
312.82,11.273
313.82,11.2617
314.819,11.2499
315.819,11.2379
316.819,11.2266
317.819,11.2159
318.819,11.2047
319.819,11.1932
320.82,11.1819
321.82,11.1703
322.82,11.1587
323.82,11.1474
324.82,11.1359
325.819,11.1242
326.819,11.1132
327.819,11.1008
328.82,11.0892
329.82,11.0776
330.82,11.0661
331.82,11.0545
332.82,11.0434
333.819,11.0313
334.819,11.0192
335.819,11.0076
336.819,10.9947
337.819,10.9842
338.819,10.9734
339.82,10.9617
340.819,10.9504
341.819,10.939
342.819,10.9273
343.819,10.9162
344.819,10.9049
345.819,10.893
346.819,10.8821
347.819,10.8702
348.819,10.8599
