energy,photo
1267.2,10700
1280.63,13700
1294.06,16500
1307.5,19900
1321,22000
1334.4,26500
1347.8,30000
1361.2,34000
1374.6,36000
1388.7,38000
1401.5,40000
1414.9,40000
1441.8,39000
1455.2,38000
1468.7,36000
1482.1,35000
1495.5,32000
1508.9,31000
1522.4,30000
1535.8,29000
1549.2,28000
1562.7,26000
1576.1,25000
1589.5,24000
