V,I
-0.42,-0.009
0.04,-0.008
2.67,0.001
4.08,0.0131
6.22,0.0397
7.95,0.0681
9.94,0.1047
10.86,0.1200
13.90,0.1660
15.83,0.1927
17.58,0.2157
19.33,0.2355
21.32,0.2425
24.02,0.2055
25.65,0.0924
24.89,0.1002
23.65,0.2137
26.60,0.0956
28.09,0.1158
30.11,0.1630
31.86,0.1998
33.45,0.2355
34.77,0.2580
37.10,0.2796
38.95,0.2844
40.05,0.2762
42.47,0.2591
44.44,0.2441
46.64,0.2307
49.50,0.2285
51.63,0.2393
54.32,0.2861
56.03,0.2698
57.42,0.2888
59.17,0.2908
60.38,0.2974
61.70,0.3001
63.52,0.3055
65.53,0.3072
67.35,0.3065
69.02,0.3067
71.76,0.3083
73.55,0.3115
76.52,0.3161
