
TIME STEP:
125 = 0.2ms

VOLTAGE STEP:
CH1:  32 = 0.15V
CH2:  32 = 5V
GND	58	128
N	CH1	CH2

0	68	129
1	69	129
2	74	130
3	79	129
4	87	130
5	82	129
6	70	130
7	67	129
8	67	130
9	65	130
10	66	130
11	67	129
12	75	130
13	84	130
14	75	129
15	73	130
16	76	130
17	78	130
18	79	130
19	81	130
20	81	130
21	80	130
22	80	129
23	78	130
24	75	130
25	74	129
26	73	130
27	71	130
28	71	130
29	70	130
30	69	129
31	69	129
32	68	130
33	66	129
34	66	129
35	66	129
36	66	129
37	67	130
38	68	130
39	70	129
40	74	129
41	77	130
42	78	130
43	81	130
44	82	130
45	83	130
46	81	130
47	79	130
48	73	130
49	70	130
50	68	130
51	66	130
52	64	130
53	64	130
54	62	130
55	62	130
56	63	130
57	63	130
58	63	130
59	63	130
60	62	130
61	62	130
62	62	130
63	61	130
64	61	130
65	61	129
66	62	130
67	61	130
68	62	130
69	61	130
70	61	130
71	62	130
72	62	130
73	61	129
74	62	130
75	61	130
76	62	129
77	62	129
78	61	130
79	60	129
80	62	130
81	61	130
82	61	130
83	62	130
84	61	129
85	60	129
86	62	130
87	62	130
88	62	130
89	70	130
90	68	130
91	91	130
92	74	130
93	81	130
94	86	129
95	96	130
96	103	130
97	100	129
98	89	129
99	82	129
100	75	130
101	72	129
102	70	129
103	68	130
104	66	130
105	67	130
106	65	130
107	66	130
108	66	130
109	67	130
110	67	130
111	69	130
112	66	130
113	65	130
114	65	130
115	66	130
116	68	130
117	77	129
118	84	129
119	88	130
120	86	129
121	86	130
122	84	130
123	81	130
124	79	130
125	75	129
126	72	130
127	71	129
128	69	130
129	68	130
130	67	130
131	67	130
132	68	130
133	68	130
134	68	130
135	70	130
136	73	130
137	76	130
138	77	130
139	79	130
140	79	130
141	78	130
142	75	130
143	73	129
144	72	130
145	72	130
146	73	130
147	76	130
148	81	130
149	76	130
150	71	130
151	69	129
152	71	130
153	76	130
154	81	130
155	73	130
156	67	130
157	67	130
158	68	130
159	70	130
160	73	130
161	75	130
162	77	130
163	72	130
164	70	130
165	71	129
166	75	130
167	77	129
168	68	130
169	67	130
170	66	129
171	65	129
172	67	129
173	70	129
174	77	129
175	69	129
176	68	130
177	67	130
178	69	130
179	76	130
180	84	129
181	93	130
182	83	130
183	80	129
184	79	129
185	77	130
186	76	130
187	74	130
188	73	130
189	72	130
190	72	130
191	72	130
192	73	130
193	74	130
194	75	130
195	75	130
196	75	130
197	70	129
198	68	130
199	67	130
200	67	130
201	67	129
202	68	130
203	70	129
204	72	129
205	69	130
206	69	129
207	70	130
208	74	130
209	77	130
210	75	130
211	71	130
212	69	130
213	70	130
214	74	130
215	76	130
216	75	129
217	75	130
218	77	130
219	79	130
220	82	130
221	82	130
222	81	129
223	79	130
224	76	130
225	74	130
226	72	130
227	70	130
228	70	129
229	69	130
230	69	129
231	69	130
232	69	130
233	69	130
234	71	130
235	72	130
236	74	129
237	75	129
238	76	130
239	75	130
240	74	130
241	74	130
242	76	130
243	77	130
244	77	130
245	78	130
246	77	130
247	76	130
248	75	130
249	73	130
250	72	130
251	71	130
252	70	130
253	69	130
254	69	130
255	69	130
256	69	130
257	69	130
258	70	130
259	70	130
260	73	130
261	75	130
262	77	129
263	79	130
264	80	130
265	80	129
266	79	130
267	78	130
268	76	130
269	75	130
270	73	130
271	72	130
272	71	130
273	69	129
274	69	129
275	68	130
276	68	130
277	68	130
278	68	129
279	68	130
280	69	130
281	70	130
282	72	130
283	73	129
284	75	130
285	75	130
286	77	129
287	78	130
288	80	130
289	84	129
290	73	130
291	70	130
292	70	130
293	72	129
294	76	130
295	81	130
296	76	130
297	69	130
298	67	130
299	66	130
300	67	129
301	68	130
302	75	130
303	81	130
304	75	130
305	73	129
306	73	129
307	73	129
308	73	129
309	74	129
310	75	130
311	77	130
312	78	130
313	78	130
314	74	130
315	71	130
316	70	130
317	69	129
318	69	130
319	69	130
320	69	130
321	70	130
322	71	130
323	73	130
324	76	130
325	79	130
326	81	130
327	81	130
328	71	130
329	68	129
330	68	130
331	68	130
332	69	130
333	74	130
334	81	130
335	90	129
336	70	129
337	67	130
338	67	129
339	67	129
340	68	130
341	71	130
342	75	130
343	79	130
344	83	129
345	85	130
346	85	130
347	84	130
348	80	130
349	69	130
350	67	130
351	65	130
352	65	130
353	65	130
354	65	130
355	67	130
356	76	129
357	68	130
358	65	130
359	65	130
360	65	130
361	66	130
362	73	130
363	89	130
364	99	129
365	73	130
366	70	130
367	68	130
368	69	129
369	72	130
370	76	130
371	80	129
372	83	130
373	85	130
374	83	130
375	80	130
376	76	130
377	73	130
378	71	130
379	70	130
380	71	129
381	72	130
382	75	130
383	76	130
384	67	130
385	65	129
386	64	130
387	63	130
388	63	130
389	63	129
390	63	130
391	65	130
392	69	130
393	72	130
394	67	129
395	67	130
396	68	130
397	72	129
398	79	129
399	85	130
400	89	130
401	83	130
402	82	129
403	83	129
404	80	129
405	74	130
406	72	130
407	71	130
408	70	129
409	69	130
410	69	130
411	69	130
412	70	130
413	71	130
414	71	129
415	73	130
416	74	130
417	75	130
418	76	130
419	77	130
420	77	130
421	77	130
422	76	130
423	75	129
424	74	129
425	73	130
426	72	130
427	71	130
428	70	129
429	70	130
430	70	130
431	70	130
432	70	129
433	71	129
434	72	130
435	73	130
436	75	130
437	76	130
438	77	129
439	78	129
440	78	130
441	78	129
442	77	130
443	76	130
444	75	130
445	74	130
446	72	129
447	71	129
448	70	129
449	70	130
450	69	129
451	69	129
452	69	129
453	69	130
