V,deltaNu
-14.95,2455
-12.64,-2032
-10.79,-1689
-8.59,-1272
-6.41,-792
-4.44,-226
-3.40,-2505
-2.41,-2217
-1.35,-1227
-0.43,-878
14.38,2328
12.40,1996
10.59,1672
8.19,1193
6.64,893
5.21,563
4.13,258
3.23,561
2.36,1213
1.53,825
0.42,203
