195,326	-732,46
195,597	-732,46
195,868	-732,46
196,139	-2,46
196,409	-8,46
196,68	5,54
196,951	10,54
197,221	1,54
197,492	2,54
197,762	10,54
198,033	-8,46
198,304	-2,46
198,574	-4,46
198,845	0,54
199,116	-5,46
199,386	-10,46
199,657	2,54
199,927	-2,46
200,198	-6,46
200,468	-11,46
200,739	6,54
201,009	8,54
201,28	0,54
201,551	-2,46
201,821	-3,46
202,092	-0,46
202,362	1,54
202,633	7,54
202,903	19,54
203,174	6,54
203,444	3,54
203,714	10,54
203,985	-16,46
204,255	-4,46
204,526	0,54
204,796	-12,46
205,067	-7,46
205,337	1,54
205,607	6,54
205,878	18,54
206,148	-1,46
206,419	7,54
206,689	-2,46
206,959	2,54
207,23	-3,46
207,5	-6,46
207,77	1,54
208,041	2,54
208,311	9,54
208,581	0,54
208,852	-6,46
209,122	-3,46
209,392	3,54
209,663	-2,46
209,933	15,54
210,203	-2,46
210,473	2,54
210,744	-5,46
211,014	-1,46
211,284	9,54
211,554	6,54
211,825	-0,46
212,095	9,54
212,365	5,54
212,635	19,54
212,905	-10,46
213,176	13,54
213,446	-15,46
213,716	4,54
213,986	2,54
214,256	-3,46
214,526	10,54
214,797	11,54
215,067	1,54
215,337	0,54
215,607	-9,46
215,877	2,54
216,147	4,54
216,417	8,54
216,687	23,54
216,957	2,54
217,227	-2,46
217,497	13,54
217,767	22,54
218,038	1,54
218,308	12,54
218,578	0,54
218,848	13,54
219,118	9,54
219,388	13,54
219,658	-4,46
219,928	-8,46
220,198	-10,46
220,468	2,54
220,737	-5,46
221,007	10,54
221,277	19,54
221,547	5,54
221,817	0,54
222,087	-0,46
222,357	-6,46
222,627	-4,46
222,897	1,54
223,167	5,54
223,437	-1,46
223,707	10,54
223,976	5,54
224,246	2,54
224,516	3,54
224,786	-0,46
225,056	-3,46
225,326	-6,46
225,595	13,54
225,865	2,54
226,135	3,54
226,405	3,54
226,675	9,54
226,944	5,54
227,214	3,54
227,484	4,54
227,754	9,54
228,023	4,54
228,293	9,54
228,563	9,54
228,833	1,54
229,102	2,54
229,372	-7,46
229,642	4,54
229,911	10,54
230,181	-1,46
230,451	4,54
230,72	-4,46
230,99	6,54
231,26	-3,46
231,529	-2,46
231,799	7,54
232,069	5,54
232,338	16,54
232,608	11,54
232,877	-5,46
