x,y
13.57831,0.01601
19.32338,0.02408
23.30654,0.09017
26.38084,0.31836
25.81479,0.25604
25.27005,0.22019
25.16345,0.17792
25.67023,0.12664
27.81947,0.58256
27.48622,0.49674
27.50326,0.44516
27.17044,0.40240
26.89507,0.36733
30.62767,0.80973
29.89712,0.75785
29.63726,0.71966
29.53066,0.67739
30.13193,0.63476
32.60075,0.91111
33.02972,0.85421
37.22698,0.96196
42.04684,0.99951
47.75319,1.00549
50.00890,1.10427
49.44497,1.05052
52.39751,1.22441
51.48257,1.15587
54.58683,1.37431
53.43502,1.29952
56.84111,1.50348
55.86925,1.43604
56.07190,1.40830
58.71143,1.59655
58.33074,1.54733
61.13248,1.67908
64.99446,1.73437
61.83226,1.63863
69.84196,1.87211
69.06693,1.80499
69.17363,1.77009
72.02621,2.03441
71.24811,1.96728
71.61723,1.92988
74.25784,2.14019
74.06965,2.08082
76.27637,2.29203
75.09894,2.22414
78.78351,2.44209
77.58450,2.37200
78.31984,2.33929
76.30321,2.18821
80.56993,2.58296
79.87255,2.52262
80.56874,2.49601
82.95138,2.87872
82.23761,2.81188
82.13100,2.76960
82.29697,2.72731
82.64566,2.66740
81.76111,2.62292
85.13665,3.11332
84.48083,3.05282
84.16408,3.00829
84.78646,2.95781
86.95295,3.23590
86.68235,3.16912
89.58098,3.34566
88.88432,3.28561
91.49991,3.43098
93.82494,3.56152
92.95271,3.49361
91.55593,3.48022
96.09254,3.71174
95.17396,3.64862
95.34448,3.61328
99.05583,3.77579
102.26111,3.74721
105.18550,3.80424
109.36174,3.83880
112.50277,3.78715
116.63803,3.75501
117.48420,3.70859
121.25002,3.79660
120.87741,3.75695
123.35732,3.92468
123.83746,3.86518
127.80842,3.98306
132.34070,3.97864
132.24007,3.93874
135.77024,3.88778
139.02465,3.98558
139.30126,3.92820
142.49128,4.09867
142.41585,4.04624
143.41294,4.15336
148.13025,4.07817
149.22393,4.03622
148.50919,3.98821
149.24477,3.95800
149.50919,3.90430
155.39012,4.07435
152.70010,4.01657
155.33213,4.12343
153.36073,3.99027
158.26363,4.20490
160.24958,4.15304
163.27629,4.13872
165.10241,4.10615
164.83298,4.04736
167.00581,3.99613
166.71151,3.95149
168.42136,3.90885
170.77944,3.85752
171.47405,3.82217
175.22573,3.93160
178.02743,3.89132
180.06390,3.81725
180.87395,3.87423
182.40929,3.77268
183.58836,3.72547
