x,y
19.99886,0.01513
24.57334,0.10752
24.17241,0.04956
24.40030,0.00751
26.94329,0.37985
26.28383,0.32307
26.49386,0.26687
26.68235,0.19844
26.46324,0.15007
29.79463,0.73081
28.81985,0.67438
28.98353,0.63701
28.65285,0.60220
28.81985,0.56627
28.73208,0.52834
28.64858,0.49225
28.36926,0.45561
29.03771,0.42259
31.81137,0.99432
30.93161,0.93842
31.24442,0.91145
27.78828,0.12044
31.04825,0.88072
31.45752,0.84139
31.37371,0.80517
30.86142,0.77836
34.04706,1.10208
33.18555,1.04770
34.14086,1.02815
30.69385,0.40324
39.85733,1.12042
44.68004,1.15073
46.01787,1.18840
47.62355,1.23372
51.20850,1.26961
52.80896,1.31268
54.91791,1.35929
56.77792,1.41474
59.73369,1.54877
58.38357,1.48777
59.23459,1.45198
57.95078,1.37280
61.22422,1.69207
60.67825,1.64349
60.50511,1.61190
60.92925,1.57900
63.60673,1.82809
62.93312,1.76939
63.77868,1.72943
65.96256,1.91654
65.10708,1.87113
70.36982,1.94027
72.90784,1.99936
73.15056,1.96012
75.56543,2.04886
77.47488,2.15700
76.20683,2.09699
79.31852,2.34841
78.91376,2.27569
78.49928,2.22291
78.09601,2.07951
82.33552,2.57847
81.06472,2.52859
80.85625,2.47967
79.62700,2.20066
81.19072,2.44405
81.17685,2.40203
83.55948,2.81917
80.80596,2.38587
83.33308,2.75736
83.07202,2.71660
82.81501,2.67759
83.15391,2.64389
82.82608,2.61031
86.17242,3.08361
85.33474,3.01886
85.16881,2.97418
85.08531,2.93809
85.00181,2.90200
85.03214,2.87187
88.22811,3.21531
87.36684,3.16740
87.28334,3.13131
90.16664,3.31800
89.16330,3.25914
92.21077,3.42309
91.31979,3.36234
95.33755,3.56366
93.81213,3.50258
94.29937,3.46091
97.26226,3.62950
100.02998,3.68284
97.09801,3.58940
101.93190,3.73265
105.68555,3.78740
105.26881,3.73341
108.18285,3.86372
109.95175,3.81142
112.01280,3.76527
113.89062,3.82010
115.85361,3.85769
119.91859,3.90800
123.06388,3.89287
124.90479,3.85067
127.04889,3.80823
128.50005,3.75589
129.43921,3.68612
132.94942,3.63316
132.75279,3.58620
135.18129,3.56844
137.76847,3.68060
136.36357,3.62296
138.21245,3.82143
138.43410,3.76108
138.09397,3.72218
140.72609,3.90482
139.75890,3.86518
143.80881,3.94478
147.10412,3.90463
147.59948,3.86648
149.15215,3.81682
150.51791,3.75845
152.51998,3.68681
157.24242,3.73041
162.18051,3.71792
163.80186,3.66191
164.57301,3.61683
165.73291,3.57759
167.03696,3.54661
171.64373,3.59170
175.92483,3.60414
177.04116,3.54608
178.37513,3.50485
178.62291,3.45751
180.22987,3.41072
180.18712,3.36136
183.69421,3.32963
183.64409,3.28634
186.75213,3.41882
187.81789,3.37493
189.91444,3.32010
192.43174,3.22489
191.68444,3.28028
194.78523,3.16098
197.03730,3.12393
196.13601,3.07812
198.85692,3.24508
198.49535,3.19692
201.26467,3.35431
199.81031,3.29678
200.93154,3.27687
203.94805,3.39140
205.08222,3.34105
206.65601,3.22845
207.71519,3.18172
206.77699,3.31677
206.69349,3.28068
209.19838,3.13807
210.13453,3.09823
212.00107,3.08813
215.72429,3.12200
215.39074,3.14773
220.68575,3.10109
225.10217,3.05155
230.00248,3.05125
233.98394,3.15665
233.43626,3.10312
237.49900,3.05723
237.61213,3.13015
237.03279,3.09598
239.12769,3.00679
238.84531,2.97124
241.00267,2.92478
244.25839,2.86752
246.16374,2.82615
247.30666,2.77957
247.19280,2.73036
249.42070,2.67395
249.29965,2.63193
251.67628,2.58458
253.59766,2.54358
253.71267,2.49419
253.87505,2.44725
253.61225,2.42376
255.75189,2.38046
255.33926,2.32848
256.92648,2.28861
257.55937,2.23782
258.96157,2.19519
259.68491,2.14746
261.27718,2.11492
262.94339,2.07830
264.45588,2.02328
266.33262,1.99357
266.40912,1.95456
266.09549,1.90910
268.44009,1.85937
268.06960,1.80735
268.61550,1.77302
268.04558,1.73520
269.94706,1.69987
270.31177,1.64544
269.88909,1.59374
270.98017,1.55179
272.33068,1.51085
271.99265,1.46085
273.68884,1.42518
275.33722,1.39886
280.04712,1.41645
281.20816,1.49354
283.33109,1.54340
285.40576,1.47299
287.38445,1.50655
289.02180,1.45746
288.89755,1.41577
290.84700,1.38144
293.73947,1.35589
299.02315,1.34759
302.04104,1.30472
304.30158,1.25054
306.44660,1.19481
305.76315,1.14710
308.38275,1.10451
307.56648,1.05202
309.75674,1.01366
311.33528,0.98239
316.72812,0.99965
321.23049,0.99962
324.49609,0.95927
330.04856,0.94291
334.25372,0.92799
336.00701,0.93555
339.93354,0.91488
343.48826,0.88966
344.91363,0.85705
346.80822,0.79440
349.16237,0.77443
352.70314,0.83073
355.63665,0.88920
359.31609,0.88357
360.66300,0.85309
362.34654,0.82396
367.45550,0.82183
370.23647,0.77451
373.10733,0.73601
376.91391,0.77760
376.04922,0.74623
378.56275,0.84158
379.71812,0.89408
382.93862,0.92072
385.72481,0.96661
388.83819,1.01372
393.71139,1.04090
397.48574,1.06124
399.52102,1.10690
