x,y
-1.09326,0.02408
0.89117,-0.00081
7.21190,0.00558
13.47235,0.00674
20.18069,0.01063
23.81935,0.06061
31.01612,0.61119
28.59719,0.43709
25.98193,0.21944
29.35350,0.56280
27.59038,0.39359
27.31234,0.36246
27.19492,0.33470
24.83018,0.17898
24.81695,0.14775
29.97862,0.53494
29.11355,0.50372
27.11997,0.30360
27.06428,0.27416
24.98768,0.11880
24.57644,0.09300
32.48997,0.67635
27.27987,0.25183
29.80871,0.47756
23.87331,0.00992
33.84113,0.64001
39.33014,0.71541
45.47659,0.71326
51.82462,0.71146
56.63512,0.75173
63.08234,0.76252
68.57945,0.74675
72.77161,0.72248
78.43676,0.75203
76.80830,0.72164
84.96821,0.77556
88.67520,0.81047
94.43849,0.82225
100.62746,0.81722
107.29730,0.81979
112.48041,0.84041
117.20835,0.87610
123.35947,0.86779
129.56525,0.86422
135.86135,0.89438
142.80264,0.89481
148.56269,0.88645
153.14346,0.92102
155.57429,0.95271
160.18117,0.98283
162.58100,0.98574
164.82524,0.95056
165.68157,0.91813
168.32008,0.89016
174.02308,0.92739
172.21530,0.89376
177.59048,0.96586
180.65231,0.99743
186.38077,1.01023
189.88552,0.97701
196.28788,0.98669
202.63523,0.99539
208.84598,0.98569
213.06432,1.05198
211.40650,1.01728
217.40072,1.06921
221.18174,1.04088
223.54466,1.03567
227.41032,1.07866
229.69303,1.10095
233.04968,1.05881
235.12520,1.04087
239.29709,1.11463
238.33015,1.07676
241.54985,1.16877
245.86426,1.20636
249.68834,1.21786
254.67832,1.19915
260.07763,1.19028
265.21638,1.23471
264.02958,1.19748
267.79021,1.27731
269.73777,1.32305
273.26274,1.36092
277.47858,1.39407
283.42314,1.42630
281.00982,1.38942
285.60465,1.46771
287.77849,1.50846
290.78544,1.54757
295.01279,1.57389
299.42647,1.60740
303.42662,1.61334
309.63635,1.59577
314.60367,1.56924
318.40344,1.53320
322.49374,1.49672
322.93283,1.45438
325.76158,1.41829
328.72475,1.39034
335.09606,1.38573
338.55900,1.34357
340.97076,1.30486
347.28972,1.29981
351.37833,1.26536
353.20507,1.22329
355.47877,1.19886
361.66913,1.19395
366.17129,1.17070
369.56015,1.13956
374.62937,1.11131
377.75147,1.07252
379.57454,1.02310
379.73030,0.98738
383.66111,0.95891
387.17811,0.99749
392.96224,1.01969
398.08413,0.99601
404.25601,0.97192
408.55300,0.93652
412.25906,0.89607
414.79464,0.86152
419.95725,0.86106
423.12700,0.90936
429.00710,0.90218
431.23070,0.86930
437.45964,0.87184
443.64171,0.87000
448.26888,0.84184
453.96737,0.83688
458.84194,0.84851
464.02962,0.85514
466.79513,0.90409
471.77097,0.90131
475.05968,0.87450
480.93963,0.85026
487.32940,0.82045
489.60736,0.81396
493.70923,0.85601
494.84450,0.84129
499.24853,0.83391
499.70579,0.80979
505.92652,0.82248
511.21889,0.79368
512.43524,0.77441
517.25873,0.81838
521.25747,0.83149
523.71907,0.79258
530.23761,0.79150
535.14186,0.82279
540.20443,0.81857
542.88481,0.79248
549.04414,0.79718
555.27795,0.79604
560.76735,0.78575
563.42395,0.76867
569.96047,0.78884
576.62029,0.80411
580.77494,0.79094
583.72970,0.75873
590.47985,0.76906
596.50554,0.81441
602.21201,0.81542
605.65526,0.79391
611.95606,0.79330
617.71835,0.81973
614.85125,0.79109
624.74528,0.82943
630.01264,0.80749
632.64754,0.78115
638.87803,0.80622
645.24747,0.79791
651.29941,0.79993
656.57338,0.76482
662.89998,0.77172
667.88324,0.77294
670.27544,0.75140
675.38117,0.73370
679.05904,0.69939
682.63962,0.66139
685.08343,0.62710
691.20763,0.61030
694.18881,0.57573
696.83991,0.54841
702.38834,0.52725
704.03892,0.49803
707.67978,0.46904
713.93743,0.46997
718.83000,0.45102
719.87873,0.41886
722.05737,0.38619
728.23227,0.37174
731.70457,0.33635
736.02576,0.31710
741.94802,0.31357
745.53221,0.27966
749.73934,0.25463
755.40605,0.26704
762.05355,0.25956
768.75256,0.26709
772.88351,0.24331
775.77130,0.21796
