x,y
26.91868,0.32208
25.81379,0.18586
29.72195,0.62749
28.42928,0.56673
28.02263,0.50797
28.11133,0.46669
28.25474,0.42533
28.44104,0.37584
26.94265,0.15665
31.44780,0.82455
30.67443,0.75420
30.56902,0.72104
30.51146,0.67821
29.52753,0.65281
27.53779,0.11327
33.79745,0.90076
33.41336,0.86640
38.32709,0.97985
39.53112,1.03269
38.07819,0.92150
42.76720,1.08621
46.14548,1.09988
50.76469,1.15346
49.69234,1.09893
53.25939,1.26556
52.87414,1.20921
55.87999,1.35328
60.24688,1.40999
62.62075,1.46500
64.40207,1.50654
66.75566,1.55516
67.98198,1.62965
70.75333,1.76276
70.02931,1.69146
68.77889,1.67281
68.23990,1.58972
72.95894,1.95015
71.93316,1.88687
71.79938,1.84478
71.57478,1.81735
75.28741,2.16384
74.24115,2.09411
74.10736,2.05202
73.77362,2.00879
77.32808,2.34020
76.45791,2.27266
76.32413,2.23056
74.90115,2.21528
79.40141,2.48526
78.33819,2.43182
78.20441,2.38973
75.83278,1.98949
81.86033,2.55158
83.96244,2.65698
82.73781,2.60527
85.81110,2.80619
85.79884,2.72512
87.75212,2.98941
87.87547,2.91208
87.69358,2.86721
90.42853,3.20213
89.90934,3.13192
89.77555,3.08983
89.45933,3.04799
88.80136,2.95629
92.63560,3.39093
92.18124,3.32781
92.04746,3.28572
92.13584,3.25587
95.28487,3.51357
94.14564,3.45578
97.21339,3.57919
100.17373,3.64574
103.52373,3.73976
103.21141,3.68474
106.05698,3.80953
108.74814,3.87002
111.70836,3.93653
115.20722,3.99955
118.17280,4.06775
124.20917,4.09888
124.87393,4.12518
127.55562,4.16583
130.78346,4.05710
129.87198,4.11626
133.85033,4.00891
139.66991,4.03608
138.59635,4.09366
142.82556,3.95405
142.73840,3.92662
146.54231,3.87558
147.57836,3.83502
152.27967,3.96812
150.05641,3.89397
157.63155,4.04312
163.96006,4.04797
167.35824,4.01877
167.08898,4.09261
169.27334,4.05916
172.61628,3.98664
175.08830,3.94280
175.66611,3.90838
179.77943,3.97445
179.53278,4.00063
182.23672,3.90003
182.08199,3.85135
181.94820,3.80926
183.97686,3.75565
183.80862,3.70271
187.04630,3.64032
189.16770,3.61589
193.70520,3.70299
194.90117,3.61802
196.74550,3.56984
196.72044,3.52736
196.90322,3.46132
196.89031,3.40784
196.58797,3.37037
198.81812,3.32250
198.35018,3.26176
198.04418,3.21737
199.88359,3.15612
201.30533,3.09194
200.96546,3.04678
200.83168,3.00469
200.44884,2.95343
204.40843,2.91259
203.69365,2.86733
202.73588,2.82544
207.97889,3.05668
207.12790,2.99650
207.63482,2.95419
211.41778,3.20955
209.68173,3.13283
209.38071,3.09990
214.61675,3.21940
215.89760,3.16113
215.47034,3.11319
215.84182,3.05710
219.41423,3.00590
223.76333,3.08460
226.71214,3.17841
223.44268,3.02696
228.67380,3.11608
229.91805,3.19044
231.52052,3.14689
231.60188,3.08600
233.38019,3.04011
235.03321,2.99324
238.28539,2.94020
238.32377,2.90904
241.80168,2.87033
244.81807,2.80461
246.99746,2.74077
247.90359,2.66263
250.17667,2.61673
249.76447,2.57353
252.29184,2.52116
252.03776,2.46236
253.77344,2.40393
255.38251,2.35196
256.63143,2.29326
257.50360,2.24095
259.49244,2.19644
261.84035,2.13517
263.72608,2.07366
263.04690,2.01317
265.25291,1.98571
265.43664,1.92614
266.80730,1.88172
268.41201,1.82052
269.20543,1.77139
272.67640,1.73338
277.91085,1.77990
275.65815,1.72595
278.78446,1.86943
277.61141,1.82159
281.84700,1.98050
280.34523,1.92066
286.65974,1.98741
287.49565,1.94771
288.60788,1.90847
289.71157,1.87416
289.77242,1.84243
293.03265,2.00334
293.28094,1.94308
295.91909,2.07547
294.25096,2.04071
299.49787,2.13481
301.37133,2.20534
299.04612,2.16564
302.55945,2.28038
305.88895,2.39120
305.41874,2.33284
308.60901,2.59219
307.47384,2.51920
307.91035,2.45611
306.47115,2.42612
310.53374,2.72415
309.98239,2.66600
309.91793,2.64572
313.88794,2.81990
312.51740,2.77170
315.97633,2.91650
315.58461,2.87188
319.15599,3.07746
317.67639,3.01110
317.17148,2.85224
324.07778,3.15300
322.92178,3.10471
330.73213,3.16519
333.86154,3.08725
334.06846,3.15236
335.22248,3.02125
334.70022,2.96675
336.47311,2.92053
336.48145,2.87373
336.15753,2.82947
337.85929,2.78833
338.24984,2.73824
338.11727,2.69653
340.25714,2.63947
339.77741,2.58463
342.25911,2.52942
341.86745,2.46797
344.12387,2.41463
343.61703,2.35126
343.30770,2.31160
343.64551,2.27374
345.72112,2.22704
345.16406,2.16775
344.94484,2.12039
344.76136,2.07708
346.99285,2.02963
346.35370,1.97680
348.10975,1.94862
347.46880,1.91993
347.93132,1.85541
350.30475,1.76772
350.82074,1.82552
351.18626,1.70578
351.44464,1.65117
350.96023,1.59760
352.93653,1.56459
352.24795,1.52091
351.86666,1.48743
353.32532,1.42745
355.34753,1.29769
355.19060,1.39163
355.29317,1.35471
354.96073,1.25012
356.21182,1.18249
359.04177,1.06388
359.65638,0.99780
360.63168,0.95872
362.27669,0.87089
365.22121,0.82676
366.16336,0.79647
367.67269,0.75243
369.58906,0.66349
378.09849,0.57327
382.23696,0.57808
392.18493,0.50803
398.37842,0.48482
402.23652,0.47059
405.73844,0.41664
413.10294,0.38682
419.06798,0.40416
425.19921,0.36328
431.86249,0.36487
435.16089,0.36481
446.07937,0.29742
454.00322,0.23917
457.34722,0.25347
463.51590,0.29163
469.96675,0.24561
479.48612,0.18486
491.72497,0.17254
507.60640,0.15314
513.70211,0.16835
527.80812,0.15868
531.56690,0.16757
545.22964,0.14199
559.72357,0.11847
567.25483,0.12409
572.06468,0.10950
591.92955,0.13261
607.14745,0.13919
611.70752,0.14567
630.73314,0.12527
634.57032,0.14338
648.47458,0.13613
653.55701,0.13235
661.27249,0.11232
665.89066,0.11361
671.11562,0.12173
676.81459,0.11589
685.17167,0.13149
691.01926,0.17433
697.64640,0.14671
705.91394,0.10393
711.12195,0.09930
721.91626,0.08797
731.05812,0.10160
738.32384,0.09574
746.96105,0.07455
753.16824,0.07678
759.70260,0.07625
767.03541,0.07708
776.14809,0.09979
784.33427,0.07699
789.37600,0.07193
795.16725,0.06822
800.77882,0.06179
808.36662,0.04237
818.49445,0.06598
827.07860,0.06413
832.76839,0.05973
838.26639,0.05985
844.68360,0.05513
850.86755,0.04621
856.96215,0.06107
863.01249,0.06200
869.06475,0.06353
875.10204,0.06036
881.68879,0.05709
887.70295,0.04664
892.46343,0.04535
900.46294,0.05414
906.43975,0.06077
912.45603,0.05099
918.25814,0.04300
924.54794,0.05009
930.55133,0.03625
936.62595,0.04482
942.63310,0.03216
948.70780,0.04076
954.75375,0.04031
960.77825,0.03311
966.86639,0.04594
972.91826,0.04735
978.94162,0.03979
984.96717,0.03293
990.98034,0.02217
997.10941,0.04787
1003.10844,0.04995
1009.15047,0.03097
1015.16915,0.02194
1020.09372,0.01462
