Bias,Current,Resistance
2.0000e+00,4.4326e-08,4.5120e+07
1.8000e+00,4.2761e-08,4.2094e+07
1.6000e+00,4.1021e-08,3.9005e+07
1.4000e+00,3.9140e-08,3.5769e+07
1.2000e+00,3.6984e-08,3.2447e+07
1.0000e+00,3.4547e-08,2.8946e+07
8.0000e-01,3.1798e-08,2.5159e+07
6.0000e-01,2.8589e-08,2.0987e+07
4.0000e-01,2.4740e-08,1.6168e+07
2.0000e-01,1.9823e-08,1.0089e+07
0.0000e+00,1.2786e-08,0.0000e+00
