V,deltaNu
-14.96,-2444
-12.24,-1959
-10.53,-1662
-8.25,-1205
-6.51,-915
-5.25,-655
-4.47,-485
-3.46,-224
-2.43,754
-1.39,505
-0.26,-3652
14.34,2354
12.32,2011
10.41,1655
8.16,1255
6.63,1002
5.36,730
4.22,486
3.44,316
2.57,187
1.73,-344
0.73,-566
