  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       739004.675395                    0

         MeasureMode                Bias1                Bias2
                   2                  -18                    5

                Step  Positive compliance  Negative compliance
                 0.4                  0.1                  0.1

  RealMeasuredPoints
                 120

        Bias        Current     Resistance
0.0000e+00   2.0634e-08   0.0000e+00
-4.0000e-01   -8.5544e-07   4.6760e+05
-8.0000e-01   -2.6928e-04   2.9709e+03
-1.2000e+00   -8.2498e-04   1.4546e+03
-1.6000e+00   -1.4086e-03   1.1359e+03
-2.0000e+00   -1.9956e-03   1.0022e+03
-2.4000e+00   -2.5858e-03   9.2815e+02
-2.8000e+00   -3.1784e-03   8.8095e+02
-3.2000e+00   -3.7724e-03   8.4827e+02
-3.6000e+00   -4.3678e-03   8.2421e+02
-4.0000e+00   -4.9638e-03   8.0583e+02
-4.4000e+00   -5.5594e-03   7.9145e+02
-4.8000e+00   -6.1566e-03   7.7965e+02
-5.2000e+00   -6.7542e-03   7.6989e+02
-5.6000e+00   -7.3512e-03   7.6178e+02
-6.0000e+00   -7.9500e-03   7.5472e+02
-6.4000e+00   -8.5456e-03   7.4892e+02
-6.8000e+00   -9.1432e-03   7.4372e+02
-7.2000e+00   -9.7428e-03   7.3901e+02
-7.6000e+00   -1.0348e-02   7.3446e+02
-8.0000e+00   -1.0961e-02   7.2986e+02
-8.4000e+00   -1.1620e-02   7.2289e+02
-8.8000e+00   -1.2226e-02   7.1978e+02
-9.2000e+00   -1.2922e-02   7.1196e+02
-9.6000e+00   -1.3548e-02   7.0859e+02
-1.0000e+01   -1.4176e-02   7.0542e+02
-1.0400e+01   -1.4836e-02   7.0100e+02
-1.0800e+01   -1.5384e-02   7.0203e+02
-1.1200e+01   -1.6240e-02   6.8966e+02
-1.1600e+01   -1.6968e-02   6.8364e+02
-1.2000e+01   -1.7652e-02   6.7981e+02
-1.2400e+01   -1.8384e-02   6.7450e+02
-1.2800e+01   -1.9182e-02   6.6729e+02
-1.3200e+01   -1.9992e-02   6.6026e+02
-1.3600e+01   -2.0726e-02   6.5618e+02
-1.4000e+01   -2.1618e-02   6.4761e+02
-1.4400e+01   -2.2716e-02   6.3391e+02
-1.4800e+01   -2.3782e-02   6.2232e+02
-1.5200e+01   -2.6308e-02   5.7777e+02
-1.5600e+01   -1.0014e-01   1.5579e+02
-1.6000e+01   -1.0003e-01   1.5996e+02
-1.6400e+01   -1.0002e-01   1.6397e+02
-1.6800e+01   -1.0001e-01   1.6798e+02
-1.7200e+01   -1.0001e-01   1.7199e+02
-1.7600e+01   -1.0001e-01   1.7599e+02
-1.8000e+01   -1.0001e-01   1.7999e+02
-1.8000e+01   -1.0001e-01   1.7999e+02
-1.7600e+01   -1.0000e-01   1.7599e+02
-1.7200e+01   -1.0000e-01   1.7200e+02
-1.6800e+01   -1.0000e-01   1.6800e+02
-1.6400e+01   -1.0000e-01   1.6400e+02
-1.6000e+01   -1.0000e-01   1.5999e+02
-1.5600e+01   -1.0000e-01   1.5599e+02
-1.5200e+01   -1.0000e-01   1.5200e+02
-1.4800e+01   -1.0000e-01   1.4800e+02
-1.4400e+01   -1.0000e-01   1.4400e+02
-1.4000e+01   -1.0000e-01   1.4000e+02
-1.3600e+01   -1.0000e-01   1.3600e+02
-1.3200e+01   -1.0000e-01   1.3200e+02
-1.2800e+01   -1.0000e-01   1.2800e+02
-1.2400e+01   -9.9996e-02   1.2400e+02
-1.2000e+01   -9.9998e-02   1.2000e+02
-1.1600e+01   -1.0004e-01   1.1595e+02
-1.1200e+01   -1.0000e-01   1.1200e+02
-1.0800e+01   -1.0000e-01   1.0800e+02
-1.0400e+01   -1.0000e-01   1.0400e+02
-1.0000e+01   -1.0000e-01   1.0000e+02
-9.6000e+00   -1.0000e-01   9.6000e+01
-9.2000e+00   -1.0000e-01   9.2000e+01
-8.8000e+00   -9.9998e-02   8.8002e+01
-8.4000e+00   -9.9998e-02   8.4002e+01
-8.0000e+00   -9.9992e-02   8.0006e+01
-7.6000e+00   -9.9988e-02   7.6009e+01
-7.2000e+00   -9.9988e-02   7.2009e+01
-6.8000e+00   -9.9988e-02   6.8008e+01
-6.4000e+00   -9.9988e-02   6.4008e+01
-6.0000e+00   -8.4668e-02   7.0865e+01
-5.6000e+00   -6.1254e-02   9.1423e+01
-5.2000e+00   -3.9332e-02   1.3221e+02
-4.8000e+00   -2.0474e-02   2.3444e+02
-4.4000e+00   -5.9182e-03   7.4347e+02
-4.0000e+00   -5.2756e-03   7.5821e+02
-3.6000e+00   -4.6354e-03   7.7663e+02
-3.2000e+00   -3.9982e-03   8.0036e+02
-2.8000e+00   -3.3648e-03   8.3214e+02
-2.4000e+00   -2.7346e-03   8.7764e+02
-2.0000e+00   -2.1078e-03   9.4886e+02
-1.6000e+00   -1.4854e-03   1.0772e+03
-1.2000e+00   -8.6622e-04   1.3853e+03
-8.0000e-01   -2.7614e-04   2.8971e+03
-4.0000e-01   -8.4680e-07   4.7237e+05
0.0000e+00   2.3266e-08   0.0000e+00
0.0000e+00   2.2141e-08   0.0000e+00
3.8450e-01   4.1572e-08   9.2490e+06
7.6925e-01   5.4114e-08   1.4215e+07
1.1538e+00   6.3853e-08   1.8069e+07
1.5385e+00   7.1413e-08   2.1544e+07
1.9230e+00   7.7696e-08   2.4750e+07
2.3077e+00   8.2998e-08   2.7805e+07
2.6923e+00   8.7547e-08   3.0752e+07
3.0770e+00   9.1599e-08   3.3592e+07
3.4615e+00   9.4997e-08   3.6438e+07
3.8463e+00   9.8132e-08   3.9195e+07
4.2308e+00   1.0086e-07   4.1947e+07
4.6155e+00   1.0300e-07   4.4811e+07
5.0000e+00   1.0534e-07   4.7465e+07
5.0000e+00   1.0548e-07   4.7402e+07
4.6155e+00   1.0338e-07   4.4646e+07
4.2308e+00   1.0128e-07   4.1773e+07
3.8463e+00   9.8210e-08   3.9164e+07
3.4615e+00   9.5333e-08   3.6310e+07
3.0770e+00   9.1764e-08   3.3532e+07
2.6923e+00   8.7885e-08   3.0634e+07
2.3077e+00   8.3439e-08   2.7658e+07
1.9230e+00   7.8074e-08   2.4631e+07
1.5385e+00   7.1767e-08   2.1437e+07
1.1538e+00   6.4055e-08   1.8012e+07
7.6925e-01   5.4508e-08   1.4113e+07
3.8450e-01   4.1915e-08   9.1733e+06
0.0000e+00   2.2291e-08   0.0000e+00
