Bias,Current,Resistance
0.0000e+00,2.2659e-08,0.0000e+00
-4.0000e-01,-8.2940e-07,4.8228e+05
-8.0000e-01,-2.6192e-04,3.0544e+03
-1.2000e+00,-8.1694e-04,1.4689e+03
-1.6000e+00,-1.4034e-03,1.1401e+03
-2.0000e+00,-1.9932e-03,1.0034e+03
-2.4000e+00,-2.5866e-03,9.2786e+02
-2.8000e+00,-3.1836e-03,8.7951e+02
-3.2000e+00,-3.7812e-03,8.4629e+02
-3.6000e+00,-4.3796e-03,8.2199e+02
-4.0000e+00,-4.9814e-03,8.0299e+02
-4.4000e+00,-5.5808e-03,7.8842e+02
-4.8000e+00,-6.1756e-03,7.7725e+02
-5.2000e+00,-6.7832e-03,7.6660e+02
-5.6000e+00,-7.4694e-03,7.4973e+02
-6.0000e+00,-7.9658e-03,7.5322e+02
-6.4000e+00,-8.8220e-03,7.2546e+02
-6.8000e+00,-9.5662e-03,7.1084e+02
-7.2000e+00,-1.0282e-02,7.0025e+02
-7.6000e+00,-1.0001e-01,7.5994e+01
-8.0000e+00,-1.0000e-01,7.9997e+01
-8.4000e+00,-9.9984e-02,8.4013e+01
-8.8000e+00,-9.9996e-02,8.8004e+01
-9.2000e+00,-9.9990e-02,9.2009e+01
-9.6000e+00,-9.9982e-02,9.6017e+01
-1.0000e+01,-9.9984e-02,1.0002e+02
-1.0400e+01,-9.9990e-02,1.0401e+02
-1.0800e+01,-9.9996e-02,1.0800e+02
-1.1200e+01,-1.0000e-01,1.1200e+02
-1.1600e+01,-9.9998e-02,1.1600e+02
-1.2000e+01,-9.9994e-02,1.2001e+02
-1.2400e+01,-9.9998e-02,1.2400e+02
-1.2800e+01,-9.9990e-02,1.2801e+02
-1.3200e+01,-1.0000e-01,1.3200e+02
-1.3600e+01,-1.0000e-01,1.3599e+02
-1.4000e+01,-9.9982e-02,1.4003e+02
-1.4400e+01,-9.9996e-02,1.4401e+02
-1.4800e+01,-9.9992e-02,1.4801e+02
-1.5200e+01,-9.9994e-02,1.5201e+02
-1.5600e+01,-9.9990e-02,1.5602e+02
-1.6000e+01,-1.0000e-01,1.6000e+02
-1.6400e+01,-1.0001e-01,1.6398e+02
-1.6800e+01,-1.0001e-01,1.6798e+02
-1.7200e+01,-1.0000e-01,1.7200e+02
-1.7600e+01,-1.0000e-01,1.7600e+02
-1.8000e+01,-9.9992e-02,1.8001e+02
-1.8000e+01,-9.9998e-02,1.8000e+02
-1.7600e+01,-1.0001e-01,1.7599e+02
-1.7200e+01,-9.9992e-02,1.7201e+02
-1.6800e+01,-1.0001e-01,1.6799e+02
-1.6400e+01,-1.0000e-01,1.6400e+02
-1.6000e+01,-1.0000e-01,1.6000e+02
-1.5600e+01,-1.0000e-01,1.5600e+02
-1.5200e+01,-1.0000e-01,1.5200e+02
-1.4800e+01,-1.0000e-01,1.4800e+02
-1.4400e+01,-9.9998e-02,1.4400e+02
-1.4000e+01,-1.0000e-01,1.4000e+02
-1.3600e+01,-1.0000e-01,1.3599e+02
-1.3200e+01,-1.0001e-01,1.3199e+02
-1.2800e+01,-1.0000e-01,1.2800e+02
-1.2400e+01,-9.9996e-02,1.2400e+02
-1.2000e+01,-1.0000e-01,1.2000e+02
-1.1600e+01,-9.9998e-02,1.1600e+02
-1.1200e+01,-9.9998e-02,1.1200e+02
-1.0800e+01,-1.0000e-01,1.0800e+02
-1.0400e+01,-1.0000e-01,1.0400e+02
-1.0000e+01,-9.9998e-02,1.0000e+02
-9.6000e+00,-9.9998e-02,9.6002e+01
-9.2000e+00,-9.9998e-02,9.2002e+01
-8.8000e+00,-1.0000e-01,8.8000e+01
-8.4000e+00,-9.9998e-02,8.4002e+01
-8.0000e+00,-1.0000e-01,8.0000e+01
-7.6000e+00,-9.9990e-02,7.6008e+01
-7.2000e+00,-9.9982e-02,7.2013e+01
-6.8000e+00,-9.9996e-02,6.8003e+01
-6.4000e+00,-9.9984e-02,6.4010e+01
-6.0000e+00,-9.5694e-02,6.2700e+01
-5.6000e+00,-6.3958e-02,8.7557e+01
-5.2000e+00,-3.4324e-02,1.5150e+02
-4.8000e+00,-1.4038e-02,3.4193e+02
-4.4000e+00,-5.6140e-03,7.8375e+02
-4.0000e+00,-4.9878e-03,8.0196e+02
-3.6000e+00,-4.3688e-03,8.2402e+02
-3.2000e+00,-3.7048e-03,8.6374e+02
-2.8000e+00,-3.1090e-03,9.0061e+02
-2.4000e+00,-2.5158e-03,9.5397e+02
-2.0000e+00,-1.9580e-03,1.0215e+03
-1.6000e+00,-1.3782e-03,1.1609e+03
-1.2000e+00,-8.0332e-04,1.4938e+03
-8.0000e-01,-2.5698e-04,3.1131e+03
-4.0000e-01,-8.3632e-07,4.7829e+05
0.0000e+00,2.4551e-08,0.0000e+00
0.0000e+00,2.3123e-08,0.0000e+00
3.8450e-01,4.3083e-08,8.9247e+06
7.6925e-01,5.6458e-08,1.3625e+07
1.1538e+00,6.6353e-08,1.7388e+07
1.5385e+00,7.4350e-08,2.0693e+07
1.9230e+00,8.0826e-08,2.3792e+07
2.3077e+00,8.6301e-08,2.6741e+07
2.6923e+00,9.1209e-08,2.9517e+07
3.0770e+00,9.5255e-08,3.2303e+07
3.4615e+00,9.8847e-08,3.5019e+07
3.8463e+00,1.0266e-07,3.7466e+07
4.2308e+00,1.0486e-07,4.0347e+07
4.6155e+00,1.0746e-07,4.2951e+07
5.0000e+00,1.0970e-07,4.5579e+07
5.0000e+00,1.0950e-07,4.5662e+07
4.6155e+00,1.0810e-07,4.2697e+07
4.2308e+00,1.0512e-07,4.0247e+07
3.8463e+00,1.0288e-07,3.7386e+07
