V,deltaNu
-14.85,-2320
-12.22,-1828
-10.31,-1518
-8.67,-1223
-6.67,-809
-4.60,-333
-3.80,-600
-2.65,404
-1.73,1419
-0.58,2500
14.21,2099
12.74,1863
10.75,1559
8.45,1159
6.40,738
5.32,505
4.39,246
3.46,-1404
2.34,-3096
1.73,974
0.74,875
