v,I
-4.97,294.5
-4.52,299.4
-4.22,300.5
-3.91,296.0
-2.81,295.7
-2.42,300.5
-2,302.8
-1.68,295.1
-1.52,301.1
-1.38,300.6
-0.99,299.2
-0.77,288.1
6.19,292.1
4.51,289.9
4.21,292.0
3.89,287.8
3.53,281.9
3.19,277.9
2.85,265.3
2.45,250.1
2.03,253.9
1.72,273.5
1.54,276.9
1.39,285.6
1.10,289.6
0.78,294.6
