v,I
-4.77,730.3
-4.43,783.4
-4.11,843.7
-3.77,878.0
-3.19,898.9
-2.94,883.7
-2.42,884.2
-2.04,894.2
-1.56,888.4
-1.69,897.5
-1.54,901.9
-1.38,891.8
-1.08,893.2
-0.78,882.7
4.11,826.8
3.74,857.2
3.21,852.7
2.94,848
2.44,792.5
2.07,801.8
1.60,868.5
1.73,852.1
1.56,870.7
1.39,880.3
1.09,880.7
0.79,898
