angle[deg],amp[V]
0,0.56
1,0.7
2,0.72
3,0.68
4,0.59
5,0.44
6,0.26
7,0.14
8,0.1
9,0.02
10,0
-1,0.36
-2,0.25
-3,0.14
-4,0.07
-5,0
