V,deltaNu
-14.96,-2528
-12.69,-2095
-10.38,-1663
-8.31,-1301
-6.73,-988
-5.15,-614
-4.29,-410
-3.29,-435
-2.30,-256
-1.37,-126
-0.17,715
14.41,2367
12.91,2143
10.35,1651
8.35,1268
6.59,938
5.50,675
4.34,378
3.65,-904
2.64,-1153
1.71,306
0.59,-866
