,$I_{з} \ [мА]$,$T_{e} [K]$,$\Delta T_{e}$ ,$n_{e} \ [м^{-1}]$,$\Delta n_{e} \ [м^{-1}]$,$w_n \ \frac{рад}{с}$,$\Delta w_n$,$r_D \ [м]$,$\Delta r_D$
0,5.0,72859.52973624557,3257.0316781285183,23723846074766.75,1185702464830.7651,274779342.35072887,6866646.800924313,0.0038243377961214376,2.6244595662130225e-08
1,3.0,51679.52479487224,1164.7801985265728,14128402693352.748,356019296315.3783,212049895.80786726,2671705.2283902266,0.004173672193332593,4.038032673383554e-08
2,1.5,33640.992577816156,179.35967695314216,9103516273134.162,54265043517.832794,170214329.12104872,507314.30031993624,0.004195033436270477,6.235002469928316e-08
