V,deltaNu
-14.94,-2515
-12.58,-2069
-10.73,-1738
-8.39,-1322
-6.22,-902
-5.23,-717
-4.40,-531
-3.29,-188
-2.31,-727
-1.31,-504
-0.57,-247
14.40,2380
12.55,2093
10.34,1703
8.36,1314
6.69,1026
5.34,757
4.30,490
3.45,277
2.75,-489
1.73,-510
0.57,888
