P,I
0,982
750,980
710,977
662,974
645,973
582,966
572,963
552,957
520,948
480,948
472,941
451,939
385,934
331,928
320,914
305,893
300,780
245,765
235,736
225,712
217,606
200,480
185,445
165,430
155,360
125,304
100,270
80,254
50,151
30,129
20,59
10,9
