y,U
8.75,11
9,41
9.25,175
8.80,13
8.85,18
8.9,23
8.95,28
9,38
9.05,50
9.1,69
9.15,94
9.20,123
9.25,161
9.30,207
9.35,255
9.40,312
9.45,372
9.50,438
9.55,507
9.60,575
9.65,633
9.70,687
9.75,733
9.80,759
9.85,768
9.90,759
9.95,739
10,707
10.05,668
10.10,618
10.15,562
10.20,492
10.25,436
10.30,375
10.35,312
10.40,268
10.45,221
10.50,183
10.60,123
10.70,77
10.80,45
10.90,24
11,11
