y,U
8.50,1
8.55,1
8.60,1
8.65,2
8.70,2
8.95,2
9.00,2
9.05,3
9.10,4
9.20,4
9.25,6
9.30,7
9.35,10
9.40,10
9.45,11
9.55,11
9.25,12
9.60,15
9.65,17
9.70,19
9.75,22
9.80,25
9.85,26
9.80,23
9.85,27
9.90,28
9.95,29
10.10,26
10.15,25
10.20,23
10.25,20
10.30,17
10.35,16
10.40,14
10.50,10
10.60,6
10.70,5
10.80,3
11,1
