y,U
13.50,1
13.65,4
13.70,5
13.80,8
13.85,10
13.90,13
13.95,16
14,19
14.05,23
14.10,26
14.15,30
14.20,34
14.25,36
14.30,41
14.35,44
14.40,47
14.55,49
14.70,46
14.80,42
14.90,36
15.00,29
15.10,22
15.20,15
15.40,6
15.50,3
15.70,1
